,LLY
% Below High,0.0691
% Held by Institutions,0.7754000000000001
52-Wk Range,['101.36 - 164.90']
Annual Dividend $,2.96
Annual Dividend %,0.0194
Ask,156.7
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.3
Bid,153.51
Bid Size,100.0
Closing Price,153.51
Day Change $,0.54
Day Change %,0.0034999999999999996
Day High,154.42
Day Low,152.55
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",6.03
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.34600000000000003
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,146.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.36
Prev Close,152.97
Short Interest,0.01
Today's Open,154.2
Volume,1967688.0
Volume 10-day Avg,2930635.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.16521739130434776
Growth 1yr High Est,0.18644067796610164
Growth 1yr Consensus Est,0.1758290346352247
Growth 2yr Low Est,0.12663854639844252
Growth 2yr High Est,0.21822033898305082
Growth 2yr Consensus Est,0.17242944269074667
Growth 5yr Low Est,0.1549345327587161
Growth 5yr High Est,0.2011415242869647
Growth 5yr Consensus Est,0.1780380285228404
Growth 5yr Actual/Est,0.1681285260898961
Growth 3yr Historic,0.09625431506272625
Price/Earnings (TTM),25.36042
Price/Sales (TTM),6.33723
Price/Book (MRQ),47.52077
Price/Cash Flow (TTM),21.8926
5yr Low,64.18
5yr High,164.9
5yr Avg Return,0.14241666666666666
EPS Growth 5yr,0.1737201
Revenue Growth 5yr,0.026163500000000003
Dividend Growth 5yr,0.056507800000000004
Short Int Current Month,9565405.0
Short Int Prev Month,9804757.0
Short Int Pct of Float,0.010012700000000001
Days to Cover,2.76314
Float,955.5787
Shares Outstanding,956.4504
Institutions Holding Shares,2124.0
FCF Growth 5yr,0.36824076489813684
"Price/Earnings (TTM, GAAP)",25.36
"PEG Ratio (TTM, GAAP)",2.02
Gross Profit Margin (TTM),0.7922
Operating Profit Margin (TTM),0.2589
Net Profit Margin (TTM),0.2397
Annual Dividend Yield,0.0194
Dividend Change %,0.1467
"Dividend Growth Rate, 3 Years",0.08140000000000001
EPS Growth (MRQ),-0.0221
EPS Growth (TTM),1.2501
Revenue Growth (MRQ),-0.041600000000000005
Revenue Growth (TTM),0.0678
Return On Equity (TTM),1.9907
Return On Assets (TTM),0.1399
Return On Investment (TTM),0.201
Revenue Per Employee (TTM),686605.0
Total Debt/Total Capital (MRQ),0.8434999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),23.49
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-11-11 00:00:00
cfra since,2008-10-06 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
