,Industry,LLY,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.87,25.36,Valuation,0.7272727272727273
Price/Sales (TTM),9.71,6.34,Valuation,0.6529351184346034
Price/Book (MRQ),9.98,47.52,Valuation,4.761523046092185
"PEG Ratio (TTM, GAAP)",43.48,2.02,Valuation,0.04645814167433303
Gross Profit Margin (TTM),0.6765000000000001,0.7922,Profitability,1.1710273466371026
Operating Profit Margin (TTM),-0.5029,0.2589,Profitability,-0.5148140783455956
Net Profit Margin (TTM),-0.5135000000000001,0.2397,Profitability,-0.4667964946445958
Annual Dividend Yield,0.0255,0.0194,Dividend,0.7607843137254903
Dividend Change %,0.0804,0.1467,Dividend,1.8246268656716418
"Dividend Growth Rate, 3 Years",0.058499999999999996,0.08140000000000001,Dividend,1.3914529914529918
EPS Growth (MRQ),0.047,-0.0221,Gowth rates,-0.4702127659574468
EPS Growth (TTM),0.008,1.2501,Gowth rates,156.2625
Revenue Growth (MRQ),0.449,-0.041600000000000005,Gowth rates,-0.09265033407572384
Revenue Growth (TTM),0.11900000000000001,0.0678,Gowth rates,0.5697478991596638
Return On Equity (TTM),0.34759999999999996,1.9907,Effectiveness,5.72698504027618
Return On Assets (TTM),0.053700000000000005,0.1399,Effectiveness,2.605214152700186
Return On Investment (TTM),0.0724,0.201,Effectiveness,2.776243093922652
Revenue Per Employee (TTM),716037.0,686605.0,Effectiveness,0.9588959788390823
Total Debt/Total Capital (MRQ),0.3911,0.8434999999999999,Financial strength,2.1567374073127077
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0,Financial strength,0.0
Quick Ratio (MRQ),1.0,0.86,Financial strength,0.86
Interest Coverage (MRQ),11.9,23.49,Financial strength,1.9739495798319326
