,2015,2016,2017,2018,2019,2020,Report
high,91.28,89.79,131.26,206.3,303.17,386.57,
low,64.29,46.0,74.63,130.14,168.47,238.93,
change,0.1743,-0.1252,0.7314,0.3592,0.6214000000000001,0.3239,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,412.0,401.0,726.0,566.0,776.0,,Balance Sheet
Short Term Investments,389.0,498.0,1053.0,932.0,915.0,,Balance Sheet
Cash and Short Term Invs,801.0,899.0,1779.0,1498.0,1691.0,,Balance Sheet
"Total Receivables, Net",203.0,323.0,437.0,575.0,835.0,,Balance Sheet
Prepaid Expenses,29.0,44.0,96.0,132.0,123.0,,Balance Sheet
"Other Curr. Assets, Total",52.0,77.0,110.0,140.0,177.0,,Balance Sheet
Total Current Assets,1086.0,1343.0,2422.0,2345.0,2827.0,,Balance Sheet
Buildings,38.0,43.0,63.0,81.0,125.0,,Balance Sheet
Machinery/Equipment,180.0,255.0,373.0,552.0,740.0,,Balance Sheet
Construction in Progress,2.0,3.0,5.0,10.0,7.0,,Balance Sheet
Other Prop./Plant/Equip.,26.0,32.0,39.0,43.0,456.0,,Balance Sheet
Prop./Plant/Equip. - Gross,246.0,332.0,480.0,686.0,1328.0,,Balance Sheet
Accumulated Depreciation,-101.0,-151.0,-235.0,-339.0,-457.0,,Balance Sheet
Prop./Plant/Equip. - Net,145.0,182.0,245.0,347.0,871.0,,Balance Sheet
"Goodwill, Net",56.0,83.0,129.0,149.0,157.0,,Balance Sheet
Intangibles - Gross,62.0,99.0,135.0,172.0,249.0,,Balance Sheet
Accum. Intangible Amort.,-19.0,-33.0,-48.0,-72.0,-105.0,,Balance Sheet
Intangibles - Net,43.0,66.0,87.0,101.0,144.0,,Balance Sheet
Long Term Investments,423.0,263.0,391.0,582.0,1013.0,,Balance Sheet
Deferred Charges,33.0,62.0,224.0,282.0,333.0,,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,600.0,,Balance Sheet
Other Long Term Assets,22.0,37.0,52.0,73.0,78.0,,Balance Sheet
Total Assets,1807.0,2034.0,3550.0,3879.0,6022.0,,Balance Sheet
Accounts Payable,37.0,38.0,32.0,31.0,53.0,,Balance Sheet
Accrued Expenses,72.0,127.0,175.0,219.0,358.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,543.0,0.0,,,Balance Sheet
Customer Advances,593.0,862.0,1211.0,1652.0,2186.0,,Balance Sheet
Income Taxes Payable,9.0,19.0,26.0,35.0,38.0,,Balance Sheet
Other Current Liabilities,20.0,25.0,53.0,76.0,118.0,,Balance Sheet
"Other Curr. Lblts, Total",623.0,907.0,1289.0,1763.0,2342.0,,Balance Sheet
Total Current Liabilities,732.0,1071.0,2039.0,2013.0,2753.0,,Balance Sheet
Total Long Term Debt,475.0,508.0,630.0,662.0,695.0,,Balance Sheet
Total Debt,475.0,508.0,1173.0,662.0,695.0,,Balance Sheet
"Other Liabilities, Total",34.0,67.0,102.0,94.0,447.0,,Balance Sheet
Total Liabilities,1240.0,1647.0,2772.0,2768.0,3894.0,,Balance Sheet
Redeemable Preferred Stock,0.0,,,0.0,0.0,,Balance Sheet
