,NOW
% Below High,0.026699999999999998
% Held by Institutions,0.9684999999999999
52-Wk Range,['213.99 - 387.60']
Annual Dividend $,
Annual Dividend %,
Ask,379.49
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,376.0
Bid Size,100.0
Closing Price,377.26
Day Change $,-4.57
Day Change %,-0.012
Day High,387.6
Day Low,376.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.4
Ex-dividend Date,No dividend
Historical Volatility,0.48600000000000004
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,71.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",112.28
Prev Close,381.83
Short Interest,0.0321
Today's Open,384.0
Volume,2106079.0
Volume 10-day Avg,2634408.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,37.0
Growth 1yr Low Est,0.29392971246006394
Growth 1yr High Est,0.3234421364985163
Growth 1yr Consensus Est,0.3086859244792901
Growth 2yr Low Est,0.2716562142547233
Growth 2yr High Est,1.007012548069886
Growth 2yr Consensus Est,0.6393343811623047
Growth 5yr Low Est,0.5722316158992916
Growth 5yr High Est,0.9168921008065967
Growth 5yr Consensus Est,0.7445618583529441
Growth 5yr Actual/Est,0.5029602515022831
Growth 3yr Historic,0.35644257703081234
Price/Earnings (TTM),112.2825
Price/Sales (TTM),19.58562
Price/Book (MRQ),32.13236
Price/Cash Flow (TTM),76.69916
5yr Low,46.0
5yr High,386.57
5yr Avg Return,0.3475
EPS Growth 5yr,
Revenue Growth 5yr,0.38355890000000004
Dividend Growth 5yr,
Short Int Current Month,6005178.0
Short Int Prev Month,7394744.0
Short Int Pct of Float,0.0320589
Days to Cover,2.36864
Float,188.3751
Shares Outstanding,190.7038
Institutions Holding Shares,1219.0
FCF Growth 5yr,2.558964982371555
"Price/Earnings (TTM, GAAP)",110.94
"PEG Ratio (TTM, GAAP)",4.09
Gross Profit Margin (TTM),0.7757
Operating Profit Margin (TTM),0.0288
Net Profit Margin (TTM),0.182
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.92
EPS Growth (TTM),16.2385
Revenue Growth (MRQ),0.0994
Revenue Growth (TTM),0.32380000000000003
Return On Equity (TTM),0.3909
Return On Assets (TTM),0.1277
Return On Investment (TTM),0.23420000000000002
Revenue Per Employee (TTM),358485.0
Total Debt/Total Capital (MRQ),0.23629999999999998
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),52.39
newConstructs,3
researchTeam,hold
cfra,4
theStreet,hold
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-07-15 00:00:00
cfra since,2019-11-05 00:00:00
theStreet since,2020-04-30 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-09-05 00:00:00
