,Industry,NOW,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",50.54,110.94,Valuation,2.195092995647012
Price/Sales (TTM),13.35,19.35,Valuation,1.4494382022471912
Price/Book (MRQ),15.07,31.75,Valuation,2.1068347710683475
"PEG Ratio (TTM, GAAP)",0.93,4.09,Valuation,4.397849462365591
Gross Profit Margin (TTM),0.7291,0.7757,Profitability,1.0639144150322315
Operating Profit Margin (TTM),0.1791,0.0288,Profitability,0.1608040201005025
Net Profit Margin (TTM),0.1446,0.182,Profitability,1.2586445366528354
Annual Dividend Yield,0.0068000000000000005,,Dividend,
Dividend Change %,0.0679,,Dividend,
"Dividend Growth Rate, 3 Years",0.0526,,Dividend,
EPS Growth (MRQ),0.3473,-0.92,Gowth rates,-2.6490066225165565
EPS Growth (TTM),0.5418000000000001,16.2385,Gowth rates,29.97139165743816
Revenue Growth (MRQ),0.1888,0.0994,Gowth rates,0.5264830508474576
Revenue Growth (TTM),0.187,0.32380000000000003,Gowth rates,1.7315508021390376
Return On Equity (TTM),0.193,0.3909,Effectiveness,2.0253886010362696
Return On Assets (TTM),0.0956,0.1277,Effectiveness,1.3357740585774058
Return On Investment (TTM),0.10890000000000001,0.23420000000000002,Effectiveness,2.150596877869605
Revenue Per Employee (TTM),640191.0,358485.0,Effectiveness,0.5599656977370816
Total Debt/Total Capital (MRQ),0.3724,0.23629999999999998,Financial strength,0.63453276047261
Change in Debt/Total Capital Quarter over Quarter,-0.0001,-0.0026000000000000003,Financial strength,26.000000000000004
Quick Ratio (MRQ),1.41,,Financial strength,
Interest Coverage (MRQ),43.75,52.39,Financial strength,1.1974857142857143
