,DHI
% Below High,0.2071
% Held by Institutions,0.8452
52-Wk Range,['25.51 - 62.54']
Annual Dividend $,0.7
Annual Dividend %,0.0148
Ask,49.99
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.6
Bid,48.55
Bid Size,200.0
Change Since Close,0.07| |(0.14%)
Closing Price,49.59
Day Change $,2.61
Day Change %,0.0554
Day High,49.82
Day Low,47.28
Dividend Pay Date,2020-05-21 00:00:00
"EPS (TTM, GAAP)",5.07
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.518
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,49.66
Market Cap,18.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.31
Prev Close,46.99
Short Interest,0.022400000000000003
Today's Open,48.04
Volume,3074770.0
Volume 10-day Avg,4810572.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.0980392156862745
Growth 1yr High Est,0.2329411764705882
Growth 1yr Consensus Est,0.06745098039215686
Growth 2yr Low Est,-0.06532395566922422
Growth 2yr High Est,0.14414234396048498
Growth 2yr Consensus Est,0.03940919414563038
Growth 5yr Low Est,0.0887442283996322
Growth 5yr High Est,0.21928195517249446
Growth 5yr Consensus Est,0.15401309178606332
Growth 5yr Actual/Est,0.13843768507767945
Growth 3yr Historic,0.12535887887660252
Price/Earnings (TTM),9.30816
Price/Sales (TTM),0.92844
Price/Book (MRQ),1.63936
Price/Cash Flow (TTM),8.69967
5yr Low,22.97
5yr High,62.54
5yr Avg Return,0.18349999999999997
EPS Growth 5yr,0.2412921
Revenue Growth 5yr,0.169983
Dividend Growth 5yr,0.1585177
Short Int Current Month,7507736.0
Short Int Prev Month,6925241.0
Short Int Pct of Float,0.0223829
Days to Cover,1.28159
Float,332.6037
Shares Outstanding,363.5378
Institutions Holding Shares,967.0
FCF Growth 5yr,0.08817324339760817
"Price/Earnings (TTM, GAAP)",9.31
"PEG Ratio (TTM, GAAP)",0.94
Gross Profit Margin (TTM),0.23079999999999998
Operating Profit Margin (TTM),0.1317
Net Profit Margin (TTM),0.1026
Annual Dividend Yield,0.0148
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.2331
EPS Growth (MRQ),0.1292
EPS Growth (TTM),0.2396
Revenue Growth (MRQ),0.1192
Revenue Growth (TTM),0.11320000000000001
Return On Equity (TTM),0.1911
Return On Assets (TTM),0.11789999999999999
Return On Investment (TTM),0.1449
Revenue Per Employee (TTM),2071097.0
Total Debt/Total Capital (MRQ),0.2863
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),121.58
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
theStreet since,2020-04-02 00:00:00
cfra since,2019-06-19 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
