,2015,2016,2017,2018,2019,2020,Report
high,33.1,34.56,51.83,53.32,56.12,62.54,
low,25.08,22.97,27.21,32.39,34.08,25.51,
change,0.2372,-0.1351,0.843,-0.32530000000000003,0.5447,-0.0635,
Date,2015-09-30 00:00:00,2016-09-30 00:00:00,2017-09-30 00:00:00,2018-09-30 00:00:00,2019-09-30 00:00:00,,Balance Sheet
Cash and Short Term Invs,1384.0,1303.0,1008.0,1473.0,1494.0,,Balance Sheet
"Trade Accts Recvble, Net",49.0,36.0,,,,,Balance Sheet
Other Receivables,,,134.0,136.0,179.0,,Balance Sheet
"Total Receivables, Net",49.0,36.0,134.0,136.0,179.0,,Balance Sheet
Invent. - Finished Goods,4065.0,4135.0,4520.0,5172.0,5939.0,,Balance Sheet
Invent. - Work In Progress,3501.0,4035.0,4606.0,5086.0,5245.0,,Balance Sheet
Invent. - Raw Materials,202.0,138.0,101.0,96.0,78.0,,Balance Sheet
Inventories - Other,38.0,33.0,10.0,40.0,20.0,,Balance Sheet
Total Inventory,7807.0,8341.0,9237.0,10395.0,11282.0,,Balance Sheet
Prepaid Expenses,41.0,30.0,31.0,37.0,50.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Buildings,116.0,167.0,278.0,346.0,395.0,,Balance Sheet
Land/Improvements,27.0,38.0,53.0,64.0,72.0,,Balance Sheet
Other Prop./Plant/Equip.,171.0,186.0,220.0,236.0,257.0,,Balance Sheet
Prop./Plant/Equip. - Gross,314.0,391.0,551.0,646.0,723.0,,Balance Sheet
Accumulated Depreciation,-167.0,-196.0,-226.0,-245.0,-261.0,,Balance Sheet
Prop./Plant/Equip. - Net,147.0,251.0,325.0,401.0,462.0,,Balance Sheet
"Goodwill, Net",87.0,80.0,80.0,109.0,164.0,,Balance Sheet
Long Term Investments,,,0.0,11.0,7.0,,Balance Sheet
Note Rcvble - Long Term,758.0,743.0,587.0,796.0,1111.0,,Balance Sheet
Def. Inc. Tax - LT Asset,558.0,476.0,365.0,194.0,163.0,,Balance Sheet
Disct. Ops. - LT Asset,,,,,29.0,,Balance Sheet
Restricted Cash - LT,10.0,10.0,17.0,33.0,20.0,,Balance Sheet
Other Assets,311.0,290.0,401.0,529.0,647.0,,Balance Sheet
"Other Assets, Total",311.0,290.0,401.0,529.0,647.0,,Balance Sheet
Total Assets,11151.0,11559.0,12185.0,14115.0,15607.0,,Balance Sheet
Accounts Payable,515.0,578.0,580.0,625.0,634.0,,Balance Sheet
Accrued Expenses,857.0,850.0,878.0,961.0,1092.0,,Balance Sheet
Notes Payable/ST Debt,478.0,473.0,420.0,638.0,889.0,,Balance Sheet
Customer Advances,,,,58.0,58.0,,Balance Sheet
Income Taxes Payable,36.0,28.0,20.0,35.0,33.0,,Balance Sheet
"Other Curr. Lblts, Total",36.0,28.0,20.0,93.0,91.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,3334.0,2798.0,2452.0,2566.0,2511.0,,Balance Sheet
Total Debt,3812.0,3271.0,2872.0,3204.0,3399.0,,Balance Sheet
Minority Interest,1.0,1.0,1.0,175.0,274.0,,Balance Sheet
"Other Liabilities, Total",36.0,39.0,87.0,73.0,95.0,,Balance Sheet
Total Liabilities,5257.0,4766.0,4438.0,5130.0,5586.0,,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,4.0,4.0,4.0,4.0,4.0,,Balance Sheet
Additional Paid-In Capital,2734.0,2866.0,2992.0,3085.0,3179.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),3290.0,4057.0,4946.0,6218.0,7640.0,,Balance Sheet
Treasury Stock - Common,-134.0,-134.0,-195.0,-322.0,-802.0,,Balance Sheet
"Other Equity, Total",1.0,0.0,,,,,Balance Sheet
Total Equity,5894.0,6793.0,7747.0,8984.0,10021.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,11151.0,11559.0,12185.0,14115.0,15607.0,,Balance Sheet
Ttl Comm. Shares Outs.,369.0,373.0,375.0,376.0,368.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,7.0,7.0,9.0,12.0,24.0,,Balance Sheet
Date,2015-09-30 00:00:00,2016-09-30 00:00:00,2017-09-30 00:00:00,2018-09-30 00:00:00,2019-09-30 00:00:00,,Income Statement
Total Revenue,10824.0,12157.0,14091.0,16068.0,17593.0,,Income Statement
"Cost of Revenue, Total",8475.0,9471.0,11003.0,12348.0,13668.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",1186.0,1320.0,1472.0,1663.0,1830.0,,Income Statement
"Inter Expense,Net Operatng",17.0,8.0,9.0,12.0,16.0,,Income Statement
"Inter/Invest Inc, Operating",,,,-3.0,-1.0,,Income Statement
Impair-Assets Held for Use,,7.0,0.0,0.0,,,Income Statement
Impair-Assets Held for Sale,45.0,20.0,23.0,37.0,28.0,,Income Statement
Other Unusual Expnse (In),15.0,11.0,17.0,27.0,27.0,,Income Statement
Unusual Expense (Income),60.0,39.0,40.0,45.0,1.0,,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,-19.0,-54.0,,Income Statement
"Other, Net",-38.0,-35.0,-34.0,-57.0,-48.0,,Income Statement
"Other Operat Expse, Total",-38.0,-35.0,-34.0,-57.0,-48.0,,Income Statement
Total Operating Expense,9701.0,10804.0,12489.0,14008.0,15468.0,,Income Statement
Total Operating Income,1123.0,1354.0,1602.0,2060.0,2125.0,,Income Statement
Income Before Tax,1123.0,1354.0,1602.0,2060.0,2125.0,,Income Statement
Income Tax - Total,373.0,467.0,564.0,489.0,507.0,,Income Statement
Income After Tax,751.0,886.0,1038.0,1571.0,1619.0,,Income Statement
Minority Interest,,,,-2.0,0.0,,Income Statement
Net Inc Before Extra Items,751.0,886.0,1038.0,1569.0,1619.0,,Income Statement
Total Extraordinary Items,,,,-109.0,,,Income Statement
Total Net Income,751.0,886.0,1038.0,1460.0,1619.0,,Income Statement
