,FFIV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.42,21.35,Valuation,1.190632318501171
Price/Sales (TTM),3.77,3.65,Valuation,1.0328767123287672
Price/Book (MRQ),4.33,4.09,Valuation,1.058679706601467
"PEG Ratio (TTM, GAAP)",7.7,125.77,Valuation,0.06122286713842729
Gross Profit Margin (TTM),0.8389,0.5957,Profitability,1.4082591908678865
Operating Profit Margin (TTM),0.18359999999999999,0.2093,Profitability,0.877209746774964
Net Profit Margin (TTM),0.1477,0.17010000000000003,Profitability,0.8683127572016459
Annual Dividend Yield,,0.0248,Dividend,
Dividend Change %,,0.126,Dividend,
"Dividend Growth Rate, 3 Years",,0.10740000000000001,Dividend,
EPS Growth (MRQ),-0.37979999999999997,-0.5058,Gowth rates,0.7508896797153024
EPS Growth (TTM),-0.3225,0.0017000000000000001,Gowth rates,-189.70588235294116
Revenue Growth (MRQ),0.0248,-0.005,Gowth rates,-4.96
Revenue Growth (TTM),0.051500000000000004,0.044000000000000004,Gowth rates,1.1704545454545454
Return On Equity (TTM),0.1966,0.2175,Effectiveness,0.9039080459770115
Return On Assets (TTM),0.0917,0.1192,Effectiveness,0.7692953020134229
Return On Investment (TTM),0.1335,0.1602,Effectiveness,0.8333333333333334
Revenue Per Employee (TTM),433152.0,662431.0,Effectiveness,0.653882442095856
Total Debt/Total Capital (MRQ),0.1661,0.41700000000000004,Financial strength,0.3983213429256594
Change in Debt/Total Capital Quarter over Quarter,,-0.001,Financial strength,
Quick Ratio (MRQ),1.1,2.04,Financial strength,0.5392156862745099
Interest Coverage (MRQ),,1.9,Financial strength,
