,FFIV
% Below High,0.0323
% Held by Institutions,0.9268000000000001
52-Wk Range,['79.78 - 153.99']
Annual Dividend $,
Annual Dividend %,
Ask,152.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.1
Bid,149.02
Bid Size,500.0
Closing Price,149.02
Day Change $,6.31
Day Change %,0.044199999999999996
Day High,149.1
Day Low,143.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.61
Ex-dividend Date,No dividend
Historical Volatility,0.37700000000000006
Last (size),5.0
Last (time),3:59p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.42
Prev Close,142.71
Short Interest,0.0326
Today's Open,143.84
Volume,847103.0
Volume 10-day Avg,1324006.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.14980544747081703
Growth 1yr High Est,-0.11398467432950188
Growth 1yr Consensus Est,-0.13189506090015946
Growth 2yr Low Est,-0.08863270085211333
Growth 2yr High Est,0.01327793310551939
Growth 2yr Consensus Est,-0.03767738387329697
Growth 5yr Low Est,0.020051859650764975
Growth 5yr High Est,0.07172294037509958
Growth 5yr Consensus Est,0.045887400012932275
Growth 5yr Actual/Est,0.04309801723459622
Growth 3yr Historic,0.05686242150341064
Price/Earnings (TTM),25.41943
Price/Sales (TTM),3.76779
Price/Book (MRQ),4.33009
Price/Cash Flow (TTM),20.49555
5yr Low,79.78
5yr High,199.71
5yr Avg Return,0.05963333333333334
EPS Growth 5yr,0.1158648
Revenue Growth 5yr,0.0530101
Dividend Growth 5yr,
Short Int Current Month,1972543.0
Short Int Prev Month,2125351.0
Short Int Pct of Float,0.0325523
Days to Cover,2.61751
Float,60.59632
Shares Outstanding,60.89654
Institutions Holding Shares,740.0
FCF Growth 5yr,0.009951155271216993
"Price/Earnings (TTM, GAAP)",25.42
"PEG Ratio (TTM, GAAP)",7.7
Gross Profit Margin (TTM),0.8389
Operating Profit Margin (TTM),0.18359999999999999
Net Profit Margin (TTM),0.1477
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.37979999999999997
EPS Growth (TTM),-0.3225
Revenue Growth (MRQ),0.0248
Revenue Growth (TTM),0.051500000000000004
Return On Equity (TTM),0.1966
Return On Assets (TTM),0.0917
Return On Investment (TTM),0.1335
Revenue Per Employee (TTM),433152.0
Total Debt/Total Capital (MRQ),0.1661
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,long
marketEdge,0
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2020-01-28 00:00:00
cfra since,2017-07-29 00:00:00
ford since,2019-08-30 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-05-09 00:00:00
