,HSIC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.12,22.76,Valuation,0.48857644991212645
Price/Sales (TTM),0.77,10.65,Valuation,0.07230046948356808
Price/Book (MRQ),2.58,6.03,Valuation,0.42786069651741293
"PEG Ratio (TTM, GAAP)",2.48,62.83,Valuation,0.03947159000477479
Gross Profit Margin (TTM),0.3069,0.1463,Profitability,2.0977443609022557
Operating Profit Margin (TTM),0.0716,0.028300000000000002,Profitability,2.5300353356890457
Net Profit Margin (TTM),0.05280000000000001,0.0068000000000000005,Profitability,7.764705882352942
Annual Dividend Yield,,0.0122,Dividend,
Dividend Change %,,0.10099999999999999,Dividend,
"Dividend Growth Rate, 3 Years",,0.10400000000000001,Dividend,
EPS Growth (MRQ),-0.5936,0.608,Gowth rates,-0.9763157894736842
EPS Growth (TTM),0.7375,0.0036,Gowth rates,204.86111111111114
Revenue Growth (MRQ),-0.08990000000000001,0.1227,Gowth rates,-0.732681336593317
Revenue Growth (TTM),0.0579,0.21739999999999998,Gowth rates,0.26632934682612697
Return On Equity (TTM),0.247,0.1627,Effectiveness,1.5181315304240932
Return On Assets (TTM),0.0724,0.050800000000000005,Effectiveness,1.4251968503937007
Return On Investment (TTM),0.121,0.016200000000000003,Effectiveness,7.469135802469134
Revenue Per Employee (TTM),529179.0,1202685.0,Effectiveness,0.43999800446500953
Total Debt/Total Capital (MRQ),0.2593,0.4826,Financial strength,0.5372979693327807
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0022,Financial strength,0.045454545454545456
Quick Ratio (MRQ),1.04,0.37,Financial strength,2.810810810810811
Interest Coverage (MRQ),38.65,10.31,Financial strength,3.748787584869059
