,HSIC
% Above Low,0.29100000000000004
% Held by Institutions,1.0811
52-Wk Range,['41.85 - 73.99']
Annual Dividend $,
Annual Dividend %,
Ask,54.1
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,53.5
Bid Size,1000.0
Closing Price,54.03
Day Change $,0.14
Day Change %,0.0026
Day High,55.0
Day Low,53.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.85
Ex-dividend Date,No dividend
Historical Volatility,0.358
Last (size),20.0
Last (time),3:59p ET 05/08/20
Market Cap,7.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.12
Prev Close,53.89
Short Interest,0.10339999999999999
Today's Open,54.23
Volume,1113787.0
Volume 10-day Avg,1806292.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.5218658892128281
Growth 1yr High Est,0.0778097982708934
Growth 1yr Consensus Est,-0.22202804547096733
Growth 2yr Low Est,0.050042665149683585
Growth 2yr High Est,0.09371773336004563
Growth 2yr Consensus Est,0.07188019925486461
Growth 5yr Low Est,0.02048052320026761
Growth 5yr High Est,0.03877126712018214
Growth 5yr Consensus Est,0.029625895160224874
Growth 5yr Actual/Est,0.007951797888238521
Growth 3yr Historic,-0.0007247107882701331
Price/Earnings (TTM),11.119
Price/Sales (TTM),0.76515
Price/Book (MRQ),2.58045
Price/Cash Flow (TTM),10.61824
5yr Low,41.85
5yr High,93.5
5yr Avg Return,-0.03165
EPS Growth 5yr,0.1154998
Revenue Growth 5yr,-0.0075487
Dividend Growth 5yr,
Short Int Current Month,14586117.0
Short Int Prev Month,13981251.0
Short Int Pct of Float,0.1033973
Days to Cover,7.71686
Float,141.1892
Shares Outstanding,142.756
Institutions Holding Shares,772.0
FCF Growth 5yr,0.028581768122409645
"Price/Earnings (TTM, GAAP)",11.12
"PEG Ratio (TTM, GAAP)",2.48
Gross Profit Margin (TTM),0.3069
Operating Profit Margin (TTM),0.0716
Net Profit Margin (TTM),0.05280000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5936
EPS Growth (TTM),0.7375
Revenue Growth (MRQ),-0.08990000000000001
Revenue Growth (TTM),0.0579
Return On Equity (TTM),0.247
Return On Assets (TTM),0.0724
Return On Investment (TTM),0.121
Revenue Per Employee (TTM),529179.0
Total Debt/Total Capital (MRQ),0.2593
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),38.65
newConstructs,2
researchTeam,hold
cfra,3
theStreet,hold
creditSuisse,neutral
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2016-08-06 00:00:00
theStreet since,2020-03-17 00:00:00
creditSuisse since,2012-02-07 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
