,MET
% Above Low,0.5414
% Held by Institutions,0.7468
52-Wk Range,['22.85 - 53.28']
Annual Dividend $,1.84
Annual Dividend %,0.053399999999999996
Ask,36.0
Ask Size,1300.0
B/A Ratio,0.15384615384615385
B/A Size,200x1300
Beta,1.3
Bid,35.25
Bid Size,200.0
Closing Price,35.22
Day Change $,0.78
Day Change %,0.0226
Day High,35.33
Day Low,33.83
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",9.39
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.526
Last (size),460.0
Last (time),6:30p ET 05/08/20
Market Cap,32.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.67
Prev Close,34.44
Short Interest,0.0235
Today's Open,35.24
Volume,8669772.0
Volume 10-day Avg,6794797.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.028846153846153966
Growth 1yr High Est,0.13382899628252787
Growth 1yr Consensus Est,0.05249142121818695
Growth 2yr Low Est,0.0093392993145468
Growth 2yr High Est,0.1046194161740508
Growth 2yr Consensus Est,0.0569793577442988
Growth 5yr Low Est,0.0846188882359536
Growth 5yr High Est,0.10523763601495328
Growth 5yr Consensus Est,0.09492826212545344
Growth 5yr Actual/Est,0.12205727768620381
Growth 3yr Historic,0.12627049431847687
Price/Earnings (TTM),3.66758
Price/Sales (TTM),0.43632
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,22.85
5yr High,58.23
5yr Avg Return,-0.042833333333333334
EPS Growth 5yr,0.022570800000000002
Revenue Growth 5yr,-0.0100847
Dividend Growth 5yr,0.0560067
Short Int Current Month,18199528.0
Short Int Prev Month,16025594.0
Short Int Pct of Float,0.0234959
Days to Cover,2.94708
Float,767.7954
Shares Outstanding,909.1066
Institutions Holding Shares,1399.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",3.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.16219999999999998
Net Profit Margin (TTM),0.1244
Annual Dividend Yield,0.0534
Dividend Change %,0.04820000000000001
"Dividend Growth Rate, 3 Years",0.0338
EPS Growth (MRQ),7.1916
EPS Growth (TTM),0.8265000000000001
Revenue Growth (MRQ),0.06
Revenue Growth (TTM),0.032799999999999996
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),1464449.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),26.48
newConstructs,3
researchTeam,hold
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,4
creditSuisse,outperform
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-07-19 00:00:00
creditSuisse since,2018-04-24 00:00:00
ford since,2020-04-09 00:00:00
