,Industry,MET,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.9,3.67,Valuation,0.3084033613445378
Price/Sales (TTM),3.79,0.44,Valuation,0.11609498680738786
Price/Book (MRQ),2.87,,Valuation,
"PEG Ratio (TTM, GAAP)",0.14,,Valuation,
Gross Profit Margin (TTM),0.0161,,Profitability,
Operating Profit Margin (TTM),0.10220000000000001,0.16219999999999998,Profitability,1.5870841487279839
Net Profit Margin (TTM),0.069,0.1244,Profitability,1.8028985507246376
Annual Dividend Yield,0.026099999999999998,0.0534,Dividend,2.0459770114942533
Dividend Change %,0.0658,0.04820000000000001,Dividend,0.7325227963525838
"Dividend Growth Rate, 3 Years",0.1061,0.0338,Dividend,0.3185673892554194
EPS Growth (MRQ),-0.1369,7.1916,Gowth rates,-52.531775018261506
EPS Growth (TTM),0.8539,0.8265000000000001,Gowth rates,0.9679119334816725
Revenue Growth (MRQ),0.1629,0.06,Gowth rates,0.3683241252302026
Revenue Growth (TTM),0.0974,0.032799999999999996,Gowth rates,0.3367556468172484
Return On Equity (TTM),0.1313,,Effectiveness,
Return On Assets (TTM),0.0302,,Effectiveness,
Return On Investment (TTM),0.0234,,Effectiveness,
Revenue Per Employee (TTM),1167261.0,1464449.0,Effectiveness,1.2546028694525047
Total Debt/Total Capital (MRQ),0.2986,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0004,-0.0004,Financial strength,-1.0
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),10.16,26.48,Financial strength,2.606299212598425
