,Industry,STZ,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.67,,Valuation,
Price/Sales (TTM),4.48,3.8,Valuation,0.8482142857142856
Price/Book (MRQ),10.65,2.62,Valuation,0.24600938967136152
"PEG Ratio (TTM, GAAP)",8.32,,Valuation,
Gross Profit Margin (TTM),0.5714,0.4976,Profitability,0.8708435421771088
Operating Profit Margin (TTM),0.227,0.2579,Profitability,1.1361233480176212
Net Profit Margin (TTM),0.17559999999999998,0.0026000000000000003,Profitability,0.014806378132118455
Annual Dividend Yield,0.0278,0.0181,Dividend,0.6510791366906475
Dividend Change %,0.0177,0.013500000000000002,Dividend,0.7627118644067797
"Dividend Growth Rate, 3 Years",0.0433,0.2331,Dividend,5.38337182448037
EPS Growth (MRQ),0.1531,0.12279999999999999,Gowth rates,0.8020901371652513
EPS Growth (TTM),0.032100000000000004,-1.0055,Gowth rates,-31.32398753894081
Revenue Growth (MRQ),0.0392,-0.0483,Gowth rates,-1.2321428571428572
Revenue Growth (TTM),0.0736,0.027999999999999997,Gowth rates,0.3804347826086956
Return On Equity (TTM),0.43829999999999997,-0.001,Effectiveness,-0.0022815423226100846
Return On Assets (TTM),0.0984,0.0008,Effectiveness,0.008130081300813009
Return On Investment (TTM),0.1362,0.0008,Effectiveness,0.005873715124816447
Revenue Per Employee (TTM),586070.0,927056.0,Effectiveness,1.5818178715853055
Total Debt/Total Capital (MRQ),0.6217,0.4941,Financial strength,0.7947563133344056
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,-0.0004,Financial strength,-0.5714285714285714
Quick Ratio (MRQ),1.02,0.91,Financial strength,0.8921568627450981
Interest Coverage (MRQ),5.93,10.36,Financial strength,1.7470489038785835
