,STZ
% Below High,0.2167
% Held by Institutions,0.8247
52-Wk Range,['104.28 - 212.00']
Annual Dividend $,3.0
Annual Dividend %,0.0182
Ask,167.07
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,166.03
Bid Size,200.0
Closing Price,166.06
Day Change $,1.29
Day Change %,0.0078000000000000005
Day High,166.85
Day Low,159.55
Dividend Pay Date,2020-05-19 00:00:00
"EPS (TTM, GAAP)",-0.1
Ex-dividend,2020-05-04 00:00:00
Ex-dividend Date,05/04/20
Historical Volatility,0.435
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,32.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,164.77
Short Interest,0.0383
Today's Open,160.8
Volume,1129124.0
Volume 10-day Avg,1145958.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-06-26 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.3864959254947614
Growth 1yr High Est,0.035147392290249435
Growth 1yr Consensus Est,-0.175674266602256
Growth 2yr Low Est,-0.13727073314586263
Growth 2yr High Est,0.10519691629846528
Growth 2yr Consensus Est,-0.016036908423698676
Growth 5yr Low Est,-0.056554122574211635
Growth 5yr High Est,0.058346503745804246
Growth 5yr Consensus Est,0.0008961905857963054
Growth 5yr Actual/Est,0.025095079107776974
Growth 3yr Historic,0.011744701043973377
Price/Earnings (TTM),
Price/Sales (TTM),3.79617
Price/Book (MRQ),2.61616
Price/Cash Flow (TTM),89.57395
5yr Low,104.28
5yr High,236.62
5yr Avg Return,0.09206666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0671734
Dividend Growth 5yr,
Short Int Current Month,5778399.0
Short Int Prev Month,5154172.0
Short Int Pct of Float,0.0382871
Days to Cover,2.28106
Float,151.7504
Shares Outstanding,191.1461
Institutions Holding Shares,1298.0
FCF Growth 5yr,0.3785227654290755
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4976
Operating Profit Margin (TTM),0.2579
Net Profit Margin (TTM),0.0026000000000000003
Annual Dividend Yield,0.0181
Dividend Change %,0.013500000000000002
"Dividend Growth Rate, 3 Years",0.2331
EPS Growth (MRQ),0.12279999999999999
EPS Growth (TTM),-1.0055
Revenue Growth (MRQ),-0.0483
Revenue Growth (TTM),0.027999999999999997
Return On Equity (TTM),-0.001
Return On Assets (TTM),0.0008
Return On Investment (TTM),0.0008
Revenue Per Employee (TTM),927056.0
Total Debt/Total Capital (MRQ),0.4941
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.91
Interest Coverage (MRQ),10.36
newConstructs,4
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,hold
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-10-04 00:00:00
cfra since,2019-10-01 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2019-03-06 00:00:00
