,PM
% Above Low,0.28550000000000003
% Held by Institutions,0.7306999999999999
52-Wk Range,['56.01 - 90.17']
Annual Dividend $,4.68
Annual Dividend %,0.0667
Ask,72.49
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,0.8
Bid,72.0
Bid Size,500.0
Closing Price,72.0
Day Change $,1.86
Day Change %,0.0265
Day High,72.43
Day Low,71.31
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",4.91
Ex-dividend,2020-03-20 00:00:00
Ex-dividend Date,03/20/20
Historical Volatility,0.399
Last (size),170.0
Last (time),6:30p ET 05/08/20
Market Cap,112.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.67
Prev Close,70.14
Short Interest,0.006999999999999999
Today's Open,71.49
Volume,5573860.0
Volume 10-day Avg,5475794.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.12015503875968991
Growth 1yr High Est,-0.0434782608695653
Growth 1yr Consensus Est,-0.0818166498146276
Growth 2yr Low Est,-0.018227299115527784
Growth 2yr High Est,0.04545454545454547
Growth 2yr Consensus Est,0.013613623169508843
Growth 5yr Low Est,0.014253705211632217
Growth 5yr High Est,0.04874276297675076
Growth 5yr Consensus Est,0.03149823409419149
Growth 5yr Actual/Est,0.034278629267901733
Growth 3yr Historic,0.02453888334995019
Price/Earnings (TTM),14.67217
Price/Sales (TTM),3.7115
Price/Book (MRQ),
Price/Cash Flow (TTM),12.27697
5yr Low,56.01
5yr High,123.55
5yr Avg Return,-0.0003333333333333263
EPS Growth 5yr,-0.0066556
Revenue Growth 5yr,0.0002552
Dividend Growth 5yr,0.0374086
Short Int Current Month,10828904.0
Short Int Prev Month,8398517.0
Short Int Pct of Float,0.0069726
Days to Cover,1.81567
Float,1553.659
Shares Outstanding,1557.13
Institutions Holding Shares,2180.0
FCF Growth 5yr,0.061452464276251687
"Price/Earnings (TTM, GAAP)",14.67
"PEG Ratio (TTM, GAAP)",3.64
Gross Profit Margin (TTM),0.6541
Operating Profit Margin (TTM),0.37310000000000004
Net Profit Margin (TTM),0.2704
Annual Dividend Yield,0.065
Dividend Change %,0.0385
"Dividend Growth Rate, 3 Years",0.0383
EPS Growth (MRQ),0.1282
EPS Growth (TTM),-0.0118
Revenue Growth (MRQ),-0.0726
Revenue Growth (TTM),0.024700000000000003
Return On Equity (TTM),
Return On Assets (TTM),0.2162
Return On Investment (TTM),0.44380000000000003
Revenue Per Employee (TTM),410980.0
Total Debt/Total Capital (MRQ),1.6392
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),0.47
Interest Coverage (MRQ),21.62
newConstructs,1
researchTeam,reduce
theStreet,hold
cfra,5
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2018-03-21 00:00:00
cfra since,2020-04-22 00:00:00
ford since,2019-09-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-10-20 00:00:00
