,FLT
% Above Low,0.40270000000000006
% Held by Institutions,0.9697
52-Wk Range,['168.51 - 329.85']
Annual Dividend $,
Annual Dividend %,
Ask,236.81
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,236.1
Bid Size,100.0
Day Change $,-0.523
Day Change %,-0.0022
Day High,240.52
Day Low,236.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.67
Ex-dividend Date,No dividend
Historical Volatility,0.46299999999999997
Last (size),126.0
Last (time),9:49a ET 05/12/20
Market Cap,19.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.5
Prev Close,236.9
Price,236.38
Short Interest,0.0345
Today's Open,237.83
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.13225255972696248
Growth 1yr High Est,0.15932203389830502
Growth 1yr Consensus Est,0.013534737085671267
Growth 2yr Low Est,0.0022119698906977736
Growth 2yr High Est,0.1392370403409654
Growth 2yr Consensus Est,0.07072450511583159
Growth 5yr Low Est,0.09118441174223882
Growth 5yr High Est,0.15942122907516731
Growth 5yr Consensus Est,0.12530282040870305
Growth 5yr Actual/Est,0.11733849448282926
Growth 3yr Historic,0.08816979923537305
Price/Earnings (TTM),24.49511
Price/Sales (TTM),7.3826
Price/Book (MRQ),7.09716
Price/Cash Flow (TTM),17.38857
5yr Low,107.56
5yr High,329.85
5yr Avg Return,0.10676666666666668
EPS Growth 5yr,0.18578309999999998
Revenue Growth 5yr,0.1717078
Dividend Growth 5yr,
Short Int Current Month,2832386.0
Short Int Prev Month,2749055.0
Short Int Pct of Float,0.034468
Days to Cover,3.89019
Float,82.19579
Shares Outstanding,83.7707
Institutions Holding Shares,785.0
FCF Growth 5yr,0.10401427821599077
"Price/Earnings (TTM, GAAP)",24.5
"PEG Ratio (TTM, GAAP)",2.0
Gross Profit Margin (TTM),0.26
Operating Profit Margin (TTM),0.4272
Net Profit Margin (TTM),0.3237
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3604
EPS Growth (TTM),0.0571
Revenue Growth (MRQ),-0.0541
Revenue Growth (TTM),0.0884
Return On Equity (TTM),0.275
Return On Assets (TTM),0.0762
Return On Investment (TTM),0.1261
Revenue Per Employee (TTM),308979.0
Total Debt/Total Capital (MRQ),0.6485
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.03
newConstructs,3
researchTeam,hold
cfra,3
theStreet,buy
ford,3
creditSuisse,neutral
marketEdge opinion,neutralfromavoid
marketEdge,3
newConstructs since,2020-05-12 00:00:00
researchTeam since,2018-05-10 00:00:00
cfra since,2018-05-10 00:00:00
theStreet since,2012-12-17 00:00:00
ford since,2020-02-14 00:00:00
creditSuisse since,2020-01-23 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
