,ADSK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",191.6,50.54,Valuation,3.7910565888405223
Price/Sales (TTM),12.32,13.35,Valuation,0.9228464419475656
Price/Book (MRQ),,15.07,Valuation,
"PEG Ratio (TTM, GAAP)",2.34,0.93,Valuation,2.516129032258064
Gross Profit Margin (TTM),0.9008,0.7291,Profitability,1.2354958167603896
Operating Profit Margin (TTM),0.1048,0.1791,Profitability,0.5851479620323842
Net Profit Margin (TTM),0.0655,0.1446,Profitability,0.4529737206085754
Annual Dividend Yield,,0.0068000000000000005,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0526,Dividend,
EPS Growth (MRQ),0.9601000000000001,0.3473,Gowth rates,2.764468758997985
EPS Growth (TTM),3.1666000000000003,0.5418000000000001,Gowth rates,5.844592100406054
Revenue Growth (MRQ),0.0672,0.1888,Gowth rates,0.3559322033898305
Revenue Growth (TTM),0.2741,0.187,Gowth rates,1.4657754010695188
Return On Equity (TTM),,0.193,Effectiveness,
Return On Assets (TTM),0.0393,0.0956,Effectiveness,0.4110878661087866
Return On Investment (TTM),0.0796,0.10890000000000001,Effectiveness,0.7309458218549127
Revenue Per Employee (TTM),324188.0,640191.0,Effectiveness,0.5063926234514388
Total Debt/Total Capital (MRQ),1.0715000000000001,0.3724,Financial strength,2.8772824919441464
Change in Debt/Total Capital Quarter over Quarter,-0.0024,-0.0001,Financial strength,23.999999999999996
Quick Ratio (MRQ),,1.41,Financial strength,
Interest Coverage (MRQ),12.99,43.75,Financial strength,0.29691428571428574
