,ADSK
% Below High,0.129
% Held by Institutions,0.9544
52-Wk Range,['125.38 - 211.58']
Annual Dividend $,
Annual Dividend %,
Ask,184.75
Ask Size,100.0
Ask close,184.38
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,182.25
Bid Size,100.0
Bid close,184.19
Change Since Close,0.46| |(0.25%)
Closing Price,184.29
Day Change $,0.29
Day Change %,0.0016
Day High,187.16
Day Low,183.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.96
Ex-dividend Date,No dividend
Historical Volatility,0.48700000000000004
Last (size),50.0
Last (time),4:15p ET 05/08/20
Last Trade,184.75
Market Cap,40.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",191.6
Prev Close,184.0
Short Interest,0.0167
Today's Open,186.0
Volume,1005490.0
Volume 10-day Avg,1499777.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.2124542124542126
Growth 1yr High Est,0.6227758007117437
Growth 1yr Consensus Est,0.4176150065829781
Growth 2yr Low Est,0.21800958356849598
Growth 2yr High Est,0.5394580757944684
Growth 2yr Consensus Est,0.37873382968148217
Growth 5yr Low Est,-0.08924082225083979
Growth 5yr High Est,-0.03630000250680615
Growth 5yr Consensus Est,-0.06277041237882297
Growth 5yr Actual/Est,-0.11852362243078185
Growth 3yr Historic,-0.3354476072607262
Price/Earnings (TTM),191.6008
Price/Sales (TTM),12.31707
Price/Book (MRQ),
Price/Cash Flow (TTM),117.9923
5yr Low,41.6
5yr High,211.58
5yr Avg Return,0.23123333333333332
EPS Growth 5yr,0.23401
Revenue Growth 5yr,0.054418100000000004
Dividend Growth 5yr,
Short Int Current Month,3615808.0
Short Int Prev Month,3878576.0
Short Int Pct of Float,0.016666399999999998
Days to Cover,1.5396
Float,217.0231
Shares Outstanding,219.1836
Institutions Holding Shares,1081.0
FCF Growth 5yr,-1.515878176337664
"Price/Earnings (TTM, GAAP)",191.6
"PEG Ratio (TTM, GAAP)",2.34
Gross Profit Margin (TTM),0.9008
Operating Profit Margin (TTM),0.1048
Net Profit Margin (TTM),0.0655
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9601000000000001
EPS Growth (TTM),3.1666000000000003
Revenue Growth (MRQ),0.0672
Revenue Growth (TTM),0.2741
Return On Equity (TTM),
Return On Assets (TTM),0.0393
Return On Investment (TTM),0.0796
Revenue Per Employee (TTM),324188.0
Total Debt/Total Capital (MRQ),1.0715000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),12.99
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-27 00:00:00
theStreet since,2019-03-01 00:00:00
cfra since,2019-08-26 00:00:00
ford since,2020-01-10 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-04-27 00:00:00
