,CSCO
% Above Low,0.3268
% Held by Institutions,0.7003
52-Wk Range,['32.40 - 58.26']
Annual Dividend $,1.44
Annual Dividend %,0.0348
Ask,43.19
Ask Size,6000.0
B/A Ratio,0.016666666666666666
B/A Size,100x6000
Beta,0.9
Bid,43.07
Bid Size,100.0
Closing Price,42.99
Day Change $,1.62
Day Change %,0.0392
Day High,43.02
Day Low,41.7
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",2.75
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.414
Last (size),6.0
Last (time),4:15p ET 05/08/20
Market Cap,182.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.02
Prev Close,41.37
Short Interest,0.008100000000000001
Today's Open,42.02
Volume,21962827.0
Volume 10-day Avg,18575676.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-05-13 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.12703583061889245
Growth 1yr High Est,0.05144694533762073
Growth 1yr Consensus Est,-0.03779444264063586
Growth 2yr Low Est,-0.0728462735184015
Growth 2yr High Est,0.045601148509788914
Growth 2yr Consensus Est,-0.013622562504306296
Growth 5yr Low Est,0.03446075824838349
Growth 5yr High Est,0.09256829456140786
Growth 5yr Consensus Est,0.06351452640489567
Growth 5yr Actual/Est,0.07417058499843343
Growth 3yr Historic,0.07004345027357578
Price/Earnings (TTM),15.01851
Price/Sales (TTM),3.4034
Price/Book (MRQ),4.93767
Price/Cash Flow (TTM),12.77731
5yr Low,22.46
5yr High,58.26
5yr Avg Return,0.07933333333333333
EPS Growth 5yr,0.1353734
Revenue Growth 5yr,0.0194327
Dividend Growth 5yr,0.1386791
Short Int Current Month,34241613.0
Short Int Prev Month,34790293.0
Short Int Pct of Float,0.008078
Days to Cover,1.48351
Float,4239.032
Shares Outstanding,4240.88
Institutions Holding Shares,3188.0
FCF Growth 5yr,0.05859980715484481
"Price/Earnings (TTM, GAAP)",15.02
"PEG Ratio (TTM, GAAP)",2.81
Gross Profit Margin (TTM),0.6397
Operating Profit Margin (TTM),0.2747
Net Profit Margin (TTM),0.2302
Annual Dividend Yield,0.0348
Dividend Change %,0.1167
"Dividend Growth Rate, 3 Years",0.1461
EPS Growth (MRQ),-0.0134
EPS Growth (TTM),0.057800000000000004
Revenue Growth (MRQ),-0.0877
Revenue Growth (TTM),0.0143
Return On Equity (TTM),0.311
Return On Assets (TTM),0.1231
Return On Investment (TTM),0.168
Revenue Per Employee (TTM),679183.0
Total Debt/Total Capital (MRQ),0.3104
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),1.75
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2019-04-12 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-05-09 00:00:00
