,BK
% Above Low,0.3386
% Held by Institutions,0.8565999999999999
52-Wk Range,['26.40 - 51.60']
Annual Dividend $,1.24
Annual Dividend %,0.0356
Ask,35.4
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,1.1
Bid,35.34
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,35.34
Day Change $,0.49
Day Change %,0.0141
Day High,35.62
Day Low,34.82
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",4.64
Ex-dividend,2020-04-27 00:00:00
Ex-dividend Date,04/27/20
Historical Volatility,0.425
Last (size),90.0
Last (time),6:30p ET 05/08/20
Last Trade,35.34
Market Cap,31.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.51
Prev Close,34.85
Short Interest,0.0083
Today's Open,35.56
Volume,4757950.0
Volume 10-day Avg,4807293.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.17721518987341778
Growth 1yr High Est,-0.00990099009900991
Growth 1yr Consensus Est,-0.09355808998621384
Growth 2yr Low Est,-0.08860759493670889
Growth 2yr High Est,0.007549504950495001
Growth 2yr Consensus Est,-0.040529044993106944
Growth 5yr Low Est,-0.012834591519981842
Growth 5yr High Est,0.03251770170973581
Growth 5yr Consensus Est,0.009841555094876983
Growth 5yr Actual/Est,0.01827263407971949
Growth 3yr Historic,0.035196212906895036
Price/Earnings (TTM),7.50636
Price/Sales (TTM),1.85016
Price/Book (MRQ),0.82062
Price/Cash Flow (TTM),5.43891
5yr Low,26.4
5yr High,58.99
5yr Avg Return,-0.017683333333333332
EPS Growth 5yr,0.1592238
Revenue Growth 5yr,0.18472719999999998
Dividend Growth 5yr,0.12322720000000001
Short Int Current Month,7345881.0
Short Int Prev Month,8898425.0
Short Int Pct of Float,0.0083276
Days to Cover,1.20887
Float,882.5795
Shares Outstanding,885.0514
Institutions Holding Shares,1290.0
FCF Growth 5yr,-0.12764687437628633
"Price/Earnings (TTM, GAAP)",7.51
"PEG Ratio (TTM, GAAP)",3.03
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3372
Net Profit Margin (TTM),0.2683
Annual Dividend Yield,0.0356
Dividend Change %,0.13460000000000003
"Dividend Growth Rate, 3 Years",0.179
EPS Growth (MRQ),-0.3031
EPS Growth (TTM),0.23320000000000002
Revenue Growth (MRQ),-0.0877
Revenue Growth (TTM),0.0326
Return On Equity (TTM),0.114
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
creditSuisse,outperform
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
creditSuisse since,2020-01-21 00:00:00
theStreet since,2020-03-12 00:00:00
cfra since,2019-07-17 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
