,BK
Price/Earnings (TTM),7.50636
Price/Sales (TTM),1.85016
Price/Book (MRQ),0.82062
Price/Cash Flow (TTM),5.43891
5yr Low,26.4
5yr High,58.99
5yr Avg Return,-0.017683333333333332
EPS Growth 5yr,0.1592238
Revenue Growth 5yr,0.18472719999999998
Dividend Growth 5yr,0.12322720000000001
Short Int Current Month,7345881.0
Short Int Prev Month,8898425.0
Short Int Pct of Float,0.0083276
Days to Cover,1.20887
Float,882.5795
Shares Outstanding,885.0514
Institutions Holding Shares,1290.0
% Held by Institutions,0.8565640000000001
FCF Growth 5yr,-0.12764687437628633
