,PNW
% Above Low,0.23010000000000003
% Held by Institutions,0.8515999999999999
52-Wk Range,['60.05 - 105.51']
Annual Dividend $,3.13
Annual Dividend %,0.0436
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.3
Bid,70.1
Bid Size,
Closing Price,73.87
Day Change $,2.11
Day Change %,0.0294
Day High,74.97
Day Low,72.63
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.68
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.414
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,8.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.1
Prev Close,71.76
Short Interest,0.0203
Today's Open,74.32
Volume,1268379.0
Volume 10-day Avg,1149680.0
Volume Past Day,(Above Average)
Next Earnings Announcement,
Growth Analysts,14.0
Growth 1yr Low Est,-0.03913043478260869
Growth 1yr High Est,0.04742268041237119
Growth 1yr Consensus Est,0.004146122814881248
Growth 2yr Low Est,0.027946094825890166
Growth 2yr High Est,0.05816015910382333
Growth 2yr Consensus Est,0.04305312696485675
Growth 5yr Low Est,0.03728096608603226
Growth 5yr High Est,0.05951326641925042
Growth 5yr Consensus Est,0.04839711625264134
Growth 5yr Actual/Est,0.04228412171541962
Growth 3yr Historic,0.023584738467770483
Price/Earnings (TTM),20.09795
Price/Sales (TTM),2.39385
Price/Book (MRQ),1.52941
Price/Cash Flow (TTM),7.56879
5yr Low,56.01
5yr High,105.51
5yr Avg Return,0.04398333333333333
EPS Growth 5yr,0.0053937
Revenue Growth 5yr,-0.0011726
Dividend Growth 5yr,0.0544555
Short Int Current Month,2268749.0
Short Int Prev Month,2416449.0
Short Int Pct of Float,0.0202568
Days to Cover,2.25391
Float,112.0099
Shares Outstanding,112.4888
Institutions Holding Shares,721.0
FCF Growth 5yr,-3.9098161288882936
"Price/Earnings (TTM, GAAP)",20.1
"PEG Ratio (TTM, GAAP)",4.13
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1936
Net Profit Margin (TTM),0.125
Annual Dividend Yield,0.0424
Dividend Change %,0.0611
"Dividend Growth Rate, 3 Years",0.0579
EPS Growth (MRQ),-1.1923000000000001
EPS Growth (TTM),-0.18
Revenue Growth (MRQ),-0.43700000000000006
Revenue Growth (TTM),-0.0596
Return On Equity (TTM),0.07780000000000001
Return On Assets (TTM),0.024
Return On Investment (TTM),0.027000000000000003
Revenue Per Employee (TTM),35785660.0
Total Debt/Total Capital (MRQ),0.5086
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),-0.1
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
marketEdge opinion,avoid
marketEdge,0
theStreet,hold
cfra,4
ford,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
creditSuisse since,2018-05-08 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-17 00:00:00
cfra since,2019-05-03 00:00:00
ford since,2020-05-01 00:00:00
