,SYK
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.43239951278928146
Growth 1yr High Est,-0.06060606060606055
Growth 1yr Consensus Est,-0.246502786697671
Growth 2yr Low Est,0.14216934231780565
Growth 2yr High Est,0.08776148582600196
Growth 2yr Consensus Est,0.1149654140719038
Growth 5yr Low Est,0.1351958713727494
Growth 5yr High Est,0.1071817188810984
Growth 5yr Consensus Est,0.1211887951269239
Growth 5yr Actual/Est,0.1037103584870164
Growth 3yr Historic,0.06407679709286512
