,Industry,STX,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.36,7.6,Valuation,0.35580524344569286
Price/Sales (TTM),4.67,1.26,Valuation,0.2698072805139186
Price/Book (MRQ),16.05,7.33,Valuation,0.4566978193146417
"PEG Ratio (TTM, GAAP)",1.61,0.83,Valuation,0.515527950310559
Gross Profit Margin (TTM),0.3763,0.2701,Profitability,0.7177783683231465
Operating Profit Margin (TTM),0.22890000000000002,0.1317,Profitability,0.5753604193971167
Net Profit Margin (TTM),0.20070000000000002,0.1757,Profitability,0.8754359740906825
Annual Dividend Yield,0.0117,0.0509,Dividend,4.35042735042735
Dividend Change %,0.1038,0.0,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.1086,0.0122,Dividend,0.11233885819521179
EPS Growth (MRQ),0.092,0.0139,Gowth rates,0.15108695652173912
EPS Growth (TTM),0.1325,0.0862,Gowth rates,0.650566037735849
Revenue Growth (MRQ),0.0063,0.008199999999999999,Gowth rates,1.3015873015873014
Revenue Growth (TTM),0.0364,-0.0452,Gowth rates,-1.2417582417582416
Return On Equity (TTM),0.589,1.0463,Effectiveness,1.7764006791171478
Return On Assets (TTM),0.1637,0.209,Effectiveness,1.2767257177764202
Return On Investment (TTM),0.23399999999999999,0.2893,Effectiveness,1.2363247863247864
Revenue Per Employee (TTM),1841002.0,255877.0,Effectiveness,0.13898789898109834
Total Debt/Total Capital (MRQ),0.6053000000000001,0.696,Financial strength,1.1498430530315544
Change in Debt/Total Capital Quarter over Quarter,0.0004,-0.0012,Financial strength,-2.9999999999999996
Quick Ratio (MRQ),1.42,1.08,Financial strength,0.7605633802816902
Interest Coverage (MRQ),0.48,7.88,Financial strength,16.416666666666668
