,STX
% Above Low,0.3086
% Held by Institutions,0.8883
52-Wk Range,['39.02 - 64.17']
Annual Dividend $,2.6
Annual Dividend %,0.053399999999999996
Ask,51.31
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,51.0
Bid Size,300.0
Closing Price,51.06
Day Change $,2.34
Day Change %,0.048
Day High,51.21
Day Low,49.35
Dividend Pay Date,2020-07-08 00:00:00
"EPS (TTM, GAAP)",6.72
Ex-dividend,2020-06-23 00:00:00
Ex-dividend Date,06/23/20
Historical Volatility,0.42200000000000004
Last (size),15.0
Last (time),3:59p ET 05/08/20
Market Cap,13.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.6
Prev Close,48.72
Short Interest,0.0447
Today's Open,49.57
Volume,2702622.0
Volume 10-day Avg,2629003.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.07296137339055786
Growth 1yr High Est,0.057613168724279795
Growth 1yr Consensus Est,0.06528727105741883
Growth 2yr Low Est,-0.07551931330472106
Growth 2yr High Est,0.20390386062673138
Growth 2yr Consensus Est,0.06419227366100516
Growth 5yr Low Est,-0.07425059133993354
Growth 5yr High Est,0.1009451151876184
Growth 5yr Consensus Est,0.013347261923842427
Growth 5yr Actual/Est,0.06645255422641821
Growth 3yr Historic,0.05303794513065391
Price/Earnings (TTM),7.59928
Price/Sales (TTM),1.26443
Price/Book (MRQ),7.33281
Price/Cash Flow (TTM),5.86538
5yr Low,18.42
5yr High,64.17
5yr Avg Return,0.020066666666666656
EPS Growth 5yr,0.09305630000000001
Revenue Growth 5yr,-0.054139799999999995
Dividend Growth 5yr,0.0857674
Short Int Current Month,11596672.0
Short Int Prev Month,13041037.0
Short Int Pct of Float,0.0447387
Days to Cover,4.90771
Float,254.877
Shares Outstanding,256.6249
Institutions Holding Shares,886.0
FCF Growth 5yr,-0.04532004523758937
"Price/Earnings (TTM, GAAP)",7.6
"PEG Ratio (TTM, GAAP)",0.83
Gross Profit Margin (TTM),0.2701
Operating Profit Margin (TTM),0.1317
Net Profit Margin (TTM),0.1757
Annual Dividend Yield,0.0509
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0122
EPS Growth (MRQ),0.0139
EPS Growth (TTM),0.0862
Revenue Growth (MRQ),0.008199999999999999
Revenue Growth (TTM),-0.0452
Return On Equity (TTM),1.0463
Return On Assets (TTM),0.209
Return On Investment (TTM),0.2893
Revenue Per Employee (TTM),255877.0
Total Debt/Total Capital (MRQ),0.696
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),7.88
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,3
theStreet,buy
ford,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-11-02 00:00:00
theStreet since,2018-01-10 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
