,Industry,MDT,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.85,25.33,Valuation,0.6052568697729988
Price/Sales (TTM),9.88,4.27,Valuation,0.4321862348178137
Price/Book (MRQ),13.88,2.56,Valuation,0.1844380403458213
"PEG Ratio (TTM, GAAP)",0.58,3.39,Valuation,5.844827586206897
Gross Profit Margin (TTM),0.6071,0.6946,Profitability,1.1441278207873498
Operating Profit Margin (TTM),-0.0415,0.1778,Profitability,-4.284337349397591
Net Profit Margin (TTM),-0.045,0.1711,Profitability,-3.8022222222222224
Annual Dividend Yield,0.0079,0.021800000000000003,Dividend,2.759493670886076
Dividend Change %,0.0582,0.087,Dividend,1.494845360824742
"Dividend Growth Rate, 3 Years",0.049,0.0958,Dividend,1.9551020408163264
EPS Growth (MRQ),8.9487,0.40390000000000004,Gowth rates,0.04513504754880597
EPS Growth (TTM),0.7232,0.0694,Gowth rates,0.09596238938053099
Revenue Growth (MRQ),0.1048,0.0014000000000000002,Gowth rates,0.0133587786259542
Revenue Growth (TTM),0.1169,0.0166,Gowth rates,0.1420017108639863
Return On Equity (TTM),0.2389,0.1039,Effectiveness,0.43491000418585185
Return On Assets (TTM),0.0707,0.058499999999999996,Effectiveness,0.8274398868458274
Return On Investment (TTM),0.08630000000000002,0.0649,Effectiveness,0.7520278099652374
Revenue Per Employee (TTM),329144.0,344861.0,Effectiveness,1.0477511362807768
Total Debt/Total Capital (MRQ),0.35850000000000004,0.3299,Financial strength,0.9202231520223152
Change in Debt/Total Capital Quarter over Quarter,0.0015,-0.0002,Financial strength,-0.13333333333333333
Quick Ratio (MRQ),1.99,2.28,Financial strength,1.1457286432160803
Interest Coverage (MRQ),10.05,13.17,Financial strength,1.3104477611940297
