,SYY
% Above Low,1.0495999999999999
% Held by Institutions,0.7759
52-Wk Range,['26.00 - 85.98']
Annual Dividend $,1.8
Annual Dividend %,0.0344
Ask,56.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,53.0
Bid Size,100.0
Closing Price,53.29
Day Change $,1.01
Day Change %,0.019299999999999998
Day High,53.48
Day Low,52.02
Dividend Pay Date,2020-04-24 00:00:00
"EPS (TTM, GAAP)",2.65
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.5970000000000001
Last (size),9.0
Last (time),6:30p ET 05/08/20
Market Cap,27.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.13
Prev Close,52.28
Short Interest,0.0209
Today's Open,53.08
Volume,2470736.0
Volume 10-day Avg,5748915.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-10 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.456896551724138
Growth 1yr High Est,0.05277777777777781
Growth 1yr Consensus Est,-0.2020593869731801
Growth 2yr Low Est,-0.5591361065498996
Growth 2yr High Est,0.05409337437701556
Growth 2yr Consensus Est,-0.25252136608644205
Growth 5yr Low Est,-0.1811548566508305
Growth 5yr High Est,0.12470801948098764
Growth 5yr Consensus Est,-0.02822341858492143
Growth 5yr Actual/Est,0.025551010307272
Growth 3yr Historic,0.09917557016642692
Price/Earnings (TTM),20.13025
Price/Sales (TTM),0.45463
Price/Book (MRQ),13.32187
Price/Cash Flow (TTM),12.77062
5yr Low,26.0
5yr High,85.98
5yr Avg Return,0.10361666666666666
EPS Growth 5yr,0.1541658
Revenue Growth 5yr,0.0526239
Dividend Growth 5yr,0.056421599999999995
Short Int Current Month,10624639.0
Short Int Prev Month,10402683.0
Short Int Pct of Float,0.020947300000000002
Days to Cover,2.06041
Float,506.4055
Shares Outstanding,507.618
Institutions Holding Shares,1549.0
FCF Growth 5yr,0.12448764423715426
"Price/Earnings (TTM, GAAP)",20.13
"PEG Ratio (TTM, GAAP)",2.72
Gross Profit Margin (TTM),0.1902
Operating Profit Margin (TTM),0.0336
Net Profit Margin (TTM),0.023100000000000002
Annual Dividend Yield,0.0338
Dividend Change %,0.087
"Dividend Growth Rate, 3 Years",0.0713
EPS Growth (MRQ),-1.0087000000000002
EPS Growth (TTM),-0.131
Revenue Growth (MRQ),-0.0883
Revenue Growth (TTM),-0.0076
Return On Equity (TTM),0.6251
Return On Assets (TTM),0.071
Return On Investment (TTM),0.1079
Revenue Per Employee (TTM),862342.0
Total Debt/Total Capital (MRQ),0.8405
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),1.85
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,hold
creditSuisse,outperform
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-04 00:00:00
theStreet since,2020-03-24 00:00:00
creditSuisse since,2018-04-17 00:00:00
ford since,2020-03-27 00:00:00
