,HES
% Above Low,0.8603000000000001
% Held by Institutions,0.8919
52-Wk Range,['26.06 - 74.11']
Annual Dividend $,1.0
Annual Dividend %,0.0216
Ask,49.18
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.3
Bid,48.0
Bid Size,200.0
Closing Price,48.48
Day Change $,2.08
Day Change %,0.044800000000000006
Day High,48.51
Day Low,47.11
Dividend Pay Date,2020-03-30 00:00:00
"EPS (TTM, GAAP)",-1.36
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.723
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,14.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,46.4
Short Interest,0.0644
Today's Open,47.69
Volume,2087924.0
Volume 10-day Avg,3064216.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.11111111111111116
Growth 1yr High Est,-1.256470588235294
Growth 1yr Consensus Est,-0.5726797385620914
Growth 2yr Low Est,0.04555555555555557
Growth 2yr High Est,-1.1098866702644359
Growth 2yr Consensus Est,-0.5321655573544402
Growth 5yr Low Est,0.022777777777777786
Growth 5yr High Est,-0.5549433351322179
Growth 5yr Consensus Est,-0.2660827786772201
Growth 5yr Actual/Est,0.30329577742363106
Growth 3yr Historic,-0.13892390221023626
Price/Earnings (TTM),
Price/Sales (TTM),2.19422
Price/Book (MRQ),1.62047
Price/Cash Flow (TTM),7.58865
5yr Low,26.06
5yr High,74.81
5yr Avg Return,-0.008199999999999985
EPS Growth 5yr,
Revenue Growth 5yr,-0.0935922
Dividend Growth 5yr,0.0
Short Int Current Month,17452289.0
Short Int Prev Month,17445069.0
Short Int Pct of Float,0.0644158
Days to Cover,4.85123
Float,274.865
Shares Outstanding,307.144
Institutions Holding Shares,756.0
FCF Growth 5yr,0.9950946649874783
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7044
Operating Profit Margin (TTM),0.0902
Net Profit Margin (TTM),-0.037000000000000005
Annual Dividend Yield,0.0216
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.04650000000000001
EPS Growth (TTM),-0.24800000000000003
Revenue Growth (MRQ),0.0652
Revenue Growth (TTM),0.027200000000000002
Return On Equity (TTM),-0.0449
Return On Assets (TTM),-0.0111
Return On Investment (TTM),-0.013200000000000002
Revenue Per Employee (TTM),3659155.0
Total Debt/Total Capital (MRQ),0.4325
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),0.17
theStreet,sell
newConstructs,4
researchTeam,reduce
creditSuisse,neutral
cfra,3
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet since,2020-03-23 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
creditSuisse since,2018-04-25 00:00:00
cfra since,2020-01-30 00:00:00
ford since,2020-02-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
