,HES,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-35.51,Valuation,
Price/Sales (TTM),2.19,3.31,Valuation,0.661631419939577
Price/Book (MRQ),1.62,2.33,Valuation,0.6952789699570816
"PEG Ratio (TTM, GAAP)",,0.32,Valuation,
Gross Profit Margin (TTM),0.7044,0.3982,Profitability,1.7689603214465093
Operating Profit Margin (TTM),0.0902,-0.0002,Profitability,-451.0
Net Profit Margin (TTM),-0.037000000000000005,-0.0029,Profitability,12.758620689655174
Annual Dividend Yield,0.0216,0.0675,Dividend,0.32
Dividend Change %,0.0,0.1449,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0891,Dividend,0.0
EPS Growth (MRQ),-0.04650000000000001,-2.7653,Gowth rates,0.016815535384949194
EPS Growth (TTM),-0.24800000000000003,-1.0931,Gowth rates,0.22687768731131647
Revenue Growth (MRQ),0.0652,0.0496,Gowth rates,1.314516129032258
Revenue Growth (TTM),0.027200000000000002,-0.0147,Gowth rates,-1.850340136054422
Return On Equity (TTM),-0.0449,0.053899999999999997,Effectiveness,-0.8330241187384045
Return On Assets (TTM),-0.0111,0.0173,Effectiveness,-0.6416184971098267
Return On Investment (TTM),-0.013200000000000002,0.0278,Effectiveness,-0.4748201438848922
Revenue Per Employee (TTM),3659155.0,3759409.0,Effectiveness,0.9733325105089656
Total Debt/Total Capital (MRQ),0.4325,0.37229999999999996,Financial strength,1.1616975557346227
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0016,Financial strength,0.5625
Quick Ratio (MRQ),1.15,0.78,Financial strength,1.4743589743589742
Interest Coverage (MRQ),0.17,3.59,Financial strength,0.04735376044568246
