,APA
% Above Low,2.2763
% Held by Institutions,0.9865999999999999
52-Wk Range,['3.80 - 33.77']
Annual Dividend $,0.1
Annual Dividend %,0.0084
Ask,12.4
Ask Size,3800.0
B/A Ratio,0.5263157894736842
B/A Size,2000x3800
Beta,4.8
Bid,12.36
Bid Size,2000.0
Change Since Close,-0.05| |(-0.40%)
Closing Price,12.45
Day Change $,0.57
Day Change %,0.048
Day High,12.54
Day Low,12.05
Dividend Pay Date,2020-05-22 00:00:00
"EPS (TTM, GAAP)",-21.15
Ex-dividend,2020-04-21 00:00:00
Ex-dividend Date,04/21/20
Historical Volatility,1.243
Last (size),70.0
Last (time),6:30p ET 05/08/20
Last Trade,12.4
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,11.88
Short Interest,0.1315
Today's Open,12.25
Volume,19464136.0
Volume 10-day Avg,26243529.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,8.416666666666666
Growth 1yr High Est,-3.037037037037037
Growth 1yr Consensus Est,2.6898148148148144
Growth 2yr Low Est,4.1098820058997045
Growth 2yr High Est,-2.5185185185185186
Growth 2yr Consensus Est,0.795681743690593
Growth 5yr Low Est,2.2946998920450246
Growth 5yr High Est,-1.9817334341143866
Growth 5yr Consensus Est,0.15648322896531908
Growth 5yr Actual/Est,6.365582898739679
Growth 3yr Historic,1.59375
Price/Earnings (TTM),
Price/Sales (TTM),0.76034
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.8
5yr High,69.0
5yr Avg Return,-0.18911666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.1302879
Dividend Growth 5yr,0.0103115
Short Int Current Month,49386146.0
Short Int Prev Month,33418337.0
Short Int Pct of Float,0.1315376
Days to Cover,1.27856
Float,375.6842
Shares Outstanding,377.4178
Institutions Holding Shares,744.0
FCF Growth 5yr,-2.7289514839428497
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7451000000000001
Operating Profit Margin (TTM),-1.2431999999999999
Net Profit Margin (TTM),-1.4078
Annual Dividend Yield,0.0084
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.5014000000000001
EPS Growth (TTM),-75.6957
Revenue Growth (MRQ),-0.23940000000000003
Revenue Growth (TTM),-0.1887
Return On Equity (TTM),-2.7811000000000003
Return On Assets (TTM),-0.47250000000000003
Return On Investment (TTM),-0.6031000000000001
Revenue Per Employee (TTM),1864369.0
Total Debt/Total Capital (MRQ),0.9626000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),-0.03
newConstructs,3
researchTeam,reduce
theStreet,sell
creditSuisse,neutral
cfra,3
ford,5
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-03-04 00:00:00
theStreet since,2019-09-04 00:00:00
creditSuisse since,2017-12-11 00:00:00
cfra since,2020-01-07 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
