,APA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-35.51,Valuation,
Price/Sales (TTM),0.76,3.31,Valuation,0.229607250755287
Price/Book (MRQ),,2.33,Valuation,
"PEG Ratio (TTM, GAAP)",,0.32,Valuation,
Gross Profit Margin (TTM),0.7451000000000001,0.3982,Profitability,1.8711702661978908
Operating Profit Margin (TTM),-1.2431999999999999,-0.0002,Profitability,6215.999999999999
Net Profit Margin (TTM),-1.4078,-0.0029,Profitability,485.44827586206895
Annual Dividend Yield,0.0084,0.0675,Dividend,0.12444444444444443
Dividend Change %,0.0,0.1449,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0891,Dividend,0.0
EPS Growth (MRQ),-0.5014000000000001,-2.7653,Gowth rates,0.18131848262394681
EPS Growth (TTM),-75.6957,-1.0931,Gowth rates,69.24865062665813
Revenue Growth (MRQ),-0.23940000000000003,0.0496,Gowth rates,-4.826612903225807
Revenue Growth (TTM),-0.1887,-0.0147,Gowth rates,12.836734693877553
Return On Equity (TTM),-2.7811000000000003,0.053899999999999997,Effectiveness,-51.597402597402606
Return On Assets (TTM),-0.47250000000000003,0.0173,Effectiveness,-27.312138728323703
Return On Investment (TTM),-0.6031000000000001,0.0278,Effectiveness,-21.69424460431655
Revenue Per Employee (TTM),1864369.0,3759409.0,Effectiveness,0.4959207683973731
Total Debt/Total Capital (MRQ),0.9626000000000001,0.37229999999999996,Financial strength,2.5855492882084348
Change in Debt/Total Capital Quarter over Quarter,0.0024,0.0016,Financial strength,1.4999999999999998
Quick Ratio (MRQ),0.72,0.78,Financial strength,0.923076923076923
Interest Coverage (MRQ),-0.03,3.59,Financial strength,-0.008356545961002786
