,SJM
Price/Earnings (TTM),21.17931
Price/Sales (TTM),1.73924
Price/Book (MRQ),1.61964
Price/Cash Flow (TTM),12.37036
5yr Low,91.32
5yr High,157.31
5yr Avg Return,0.01163333333333333
EPS Growth 5yr,-0.035316
Revenue Growth 5yr,0.0691514
Dividend Growth 5yr,0.0806055
Short Int Current Month,4564448.0
Short Int Prev Month,4120210.0
Short Int Pct of Float,0.0418525
Days to Cover,3.98008
Float,109.0596
Shares Outstanding,114.0379
Institutions Holding Shares,995.0
% Held by Institutions,0.7904869999999999
FCF Growth 5yr,0.23098387917270885
