,SJM
% Below High,0.0962
% Held by Institutions,0.7905
52-Wk Range,['91.88 - 128.43']
Annual Dividend $,3.52
Annual Dividend %,0.031
Ask,116.75
Ask Size,200.0
B/A Ratio,4.5
B/A Size,900x200
Beta,0.2
Bid,113.55
Bid Size,900.0
Closing Price,116.08
Day Change $,2.55
Day Change %,0.0225
Day High,117.07
Day Low,114.8
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",5.48
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.314
Last (size),6800.0
Last (time),6:30p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.18
Prev Close,113.53
Short Interest,0.04190000000000001
Today's Open,115.07
Volume,867884.0
Volume 10-day Avg,1154799.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-04 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.050000000000000044
Growth 1yr High Est,0.04146341463414638
Growth 1yr Consensus Est,0.04573170731707321
Growth 2yr Low Est,0.0017857142857142794
Growth 2yr High Est,0.052933112469298105
Growth 2yr Consensus Est,0.027359413377506192
Growth 5yr Low Est,0.014604856362102764
Growth 5yr High Est,0.04328545732666339
Growth 5yr Consensus Est,0.028945156844383077
Growth 5yr Actual/Est,0.02504838144111582
Growth 3yr Historic,0.018144357731521343
Price/Earnings (TTM),21.17931
Price/Sales (TTM),1.73924
Price/Book (MRQ),1.61964
Price/Cash Flow (TTM),12.37036
5yr Low,91.32
5yr High,157.31
5yr Avg Return,0.01163333333333333
EPS Growth 5yr,-0.035316
Revenue Growth 5yr,0.0691514
Dividend Growth 5yr,0.0806055
Short Int Current Month,4564448.0
Short Int Prev Month,4120210.0
Short Int Pct of Float,0.0418525
Days to Cover,3.98008
Float,109.0596
Shares Outstanding,114.0379
Institutions Holding Shares,995.0
FCF Growth 5yr,0.23098387917270885
"Price/Earnings (TTM, GAAP)",21.18
"PEG Ratio (TTM, GAAP)",13.66
Gross Profit Margin (TTM),0.38180000000000003
Operating Profit Margin (TTM),0.1353
Net Profit Margin (TTM),0.0821
Annual Dividend Yield,0.030299999999999997
Dividend Change %,0.07769999999999999
"Dividend Growth Rate, 3 Years",0.0791
EPS Growth (MRQ),-0.1124
EPS Growth (TTM),-0.0102
Revenue Growth (MRQ),0.0074
Revenue Growth (TTM),-0.013700000000000002
Return On Equity (TTM),0.0767
Return On Assets (TTM),0.037200000000000004
Return On Investment (TTM),0.0421
Revenue Per Employee (TTM),1028527.0
Total Debt/Total Capital (MRQ),0.3979
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.31
Interest Coverage (MRQ),7.64
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,-1
theStreet,buy
cfra,3
ford,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-02-05 00:00:00
cfra since,2017-02-18 00:00:00
ford since,2020-04-17 00:00:00
creditSuisse since,2020-04-16 00:00:00
