,Industry,SJM,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.89,21.18,Valuation,0.8865634156550858
Price/Sales (TTM),2.86,1.74,Valuation,0.6083916083916084
Price/Book (MRQ),37.33,1.62,Valuation,0.043396731851058135
"PEG Ratio (TTM, GAAP)",0.72,13.66,Valuation,18.97222222222222
Gross Profit Margin (TTM),0.3012,0.38180000000000003,Profitability,1.2675962815405046
Operating Profit Margin (TTM),0.1097,0.1353,Profitability,1.2333637192342752
Net Profit Margin (TTM),0.0735,0.0821,Profitability,1.1170068027210887
Annual Dividend Yield,0.0259,0.030299999999999997,Dividend,1.1698841698841698
Dividend Change %,0.0004,0.07769999999999999,Dividend,194.24999999999997
"Dividend Growth Rate, 3 Years",0.0667,0.0791,Dividend,1.1859070464767618
EPS Growth (MRQ),-0.0843,-0.1124,Gowth rates,1.3333333333333333
EPS Growth (TTM),0.33170000000000005,-0.0102,Gowth rates,-0.030750678323786553
Revenue Growth (MRQ),0.042800000000000005,0.0074,Gowth rates,0.17289719626168223
Revenue Growth (TTM),0.06269999999999999,-0.013700000000000002,Gowth rates,-0.21850079744816592
Return On Equity (TTM),0.2589,0.0767,Effectiveness,0.29625337968327536
Return On Assets (TTM),0.049400000000000006,0.037200000000000004,Effectiveness,0.7530364372469636
Return On Investment (TTM),0.0651,0.0421,Effectiveness,0.6466973886328724
Revenue Per Employee (TTM),574344.0,1028527.0,Effectiveness,1.7907856615547477
Total Debt/Total Capital (MRQ),0.4626,0.3979,Financial strength,0.8601383484651967
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,-0.001,Financial strength,1.4285714285714284
Quick Ratio (MRQ),0.88,0.31,Financial strength,0.3522727272727273
Interest Coverage (MRQ),19.97,7.64,Financial strength,0.38257386079118677
