,V
% Below High,0.1358
% Held by Institutions,0.9404
52-Wk Range,['133.93 - 214.17']
Annual Dividend $,1.2
Annual Dividend %,0.0066
Ask,185.4
Ask Size,1100.0
B/A Ratio,0.5454545454545454
B/A Size,600x1100
Beta,0.9
Bid,185.1
Bid Size,600.0
Closing Price,185.09
Day Change $,2.37
Day Change %,0.013000000000000001
Day High,185.75
Day Low,183.62
Dividend Pay Date,2020-06-02 00:00:00
"EPS (TTM, GAAP)",5.56
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.405
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,394.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.31
Prev Close,182.72
Short Interest,0.0175
Today's Open,185.03
Volume,6475195.0
Volume 10-day Avg,9853846.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.1399253731343284
Growth 1yr High Est,0.0073260073260073
Growth 1yr Consensus Est,-0.06629968290416055
Growth 2yr Low Est,-0.07647027875805362
Growth 2yr High Est,0.09366300366300362
Growth 2yr Consensus Est,0.008596362452474998
Growth 5yr Low Est,0.091641396595499
Growth 5yr High Est,0.17636254788781358
Growth 5yr Consensus Est,0.13400197224165628
Growth 5yr Actual/Est,0.1490965981239265
Growth 3yr Historic,0.12618900690652507
Price/Earnings (TTM),33.31318
Price/Sales (TTM),16.49823
Price/Book (MRQ),13.57717
Price/Cash Flow (TTM),29.86888
5yr Low,60.0
5yr High,214.17
5yr Avg Return,0.1948
EPS Growth 5yr,0.1980132
Revenue Growth 5yr,0.1258596
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,29809216.0
Short Int Prev Month,30645638.0
Short Int Pct of Float,0.0175217
Days to Cover,2.52831
Float,1668.523
Shares Outstanding,2129.019
Institutions Holding Shares,3468.0
FCF Growth 5yr,0.18538526611713296
"Price/Earnings (TTM, GAAP)",33.31
"PEG Ratio (TTM, GAAP)",2.89
Gross Profit Margin (TTM),0.8155
Operating Profit Margin (TTM),0.6524
Net Profit Margin (TTM),0.5226
Annual Dividend Yield,0.006500000000000001
Dividend Change %,0.2121
"Dividend Growth Rate, 3 Years",0.2132
EPS Growth (MRQ),-0.0524
EPS Growth (TTM),0.2002
Revenue Growth (MRQ),-0.033
Revenue Growth (TTM),0.102
Return On Equity (TTM),0.4154
Return On Assets (TTM),0.17500000000000002
Return On Investment (TTM),0.2164
Revenue Per Employee (TTM),1224872.0
Total Debt/Total Capital (MRQ),0.341
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),33.36
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,3
cfra,4
theStreet,buy
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-02-05 00:00:00
theStreet since,2011-03-01 00:00:00
ford since,2019-11-01 00:00:00
creditSuisse since,2009-10-12 00:00:00
