,EXPD
% Below High,0.0834
% Held by Institutions,0.9581999999999999
52-Wk Range,['52.55 - 81.64']
Annual Dividend $,1.04
Annual Dividend %,0.013999999999999999
Ask,74.88
Ask Size,600.0
B/A Ratio,2.6666666666666665
B/A Size,1600x600
Beta,0.7
Bid,74.82
Bid Size,1600.0
Closing Price,74.83
Day Change $,0.45
Day Change %,0.0060999999999999995
Day High,75.56
Day Low,74.07
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",3.31
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.318
Last (size),6600.0
Last (time),3:59p ET 05/08/20
Market Cap,12.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.49
Prev Close,74.38
Short Interest,0.0195
Today's Open,74.91
Volume,1009248.0
Volume 10-day Avg,1340591.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.24778761061946908
Growth 1yr High Est,-0.06406685236768805
Growth 1yr Consensus Est,-0.15592723149357857
Growth 2yr Low Est,0.038851292729481124
Growth 2yr High Est,0.04385943095901318
Growth 2yr Consensus Est,0.04135536184424715
Growth 5yr Low Est,0.13006394423708098
Growth 5yr High Est,0.14127127926551478
Growth 5yr Consensus Est,0.13566761175129788
Growth 5yr Actual/Est,0.10844552715512978
Growth 3yr Historic,0.09434093437152394
Price/Earnings (TTM),22.49372
Price/Sales (TTM),1.55078
Price/Book (MRQ),6.07499
Price/Cash Flow (TTM),19.99509
5yr Low,40.41
5yr High,81.64
5yr Avg Return,0.0819
EPS Growth 5yr,0.1208897
Revenue Growth 5yr,0.044861700000000004
Dividend Growth 5yr,0.09336209999999999
Short Int Current Month,3314334.0
Short Int Prev Month,3486673.0
Short Int Pct of Float,0.0195333
Days to Cover,2.19213
Float,167.8226
Shares Outstanding,167.9888
Institutions Holding Shares,838.0
FCF Growth 5yr,0.09075231472500071
"Price/Earnings (TTM, GAAP)",22.49
"PEG Ratio (TTM, GAAP)",5.07
Gross Profit Margin (TTM),0.3224
Operating Profit Margin (TTM),0.0916
Net Profit Margin (TTM),0.0713
Annual Dividend Yield,0.013999999999999999
Dividend Change %,0.11109999999999999
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),-0.0987
EPS Growth (TTM),-0.0861
Revenue Growth (MRQ),-0.07
Revenue Growth (TTM),-0.029700000000000004
Return On Equity (TTM),0.2756
Return On Assets (TTM),0.1607
Return On Investment (TTM),0.2414
Revenue Per Employee (TTM),447624.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
cfra,3
theStreet,buy
creditSuisse,underperform
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2017-08-08 00:00:00
theStreet since,2013-07-10 00:00:00
creditSuisse since,2014-11-05 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
