,HP
% Above Low,0.42979999999999996
% Held by Institutions,0.9242
52-Wk Range,['12.40 - 59.68']
Annual Dividend $,2.84
Annual Dividend %,0.1739
Ask,18.0
Ask Size,10300.0
B/A Ratio,0.1262135922330097
B/A Size,1300x10300
Beta,2.1
Bid,17.82
Bid Size,1300.0
Closing Price,17.73
Day Change $,2.11
Day Change %,0.1351
Day High,17.76
Day Low,16.07
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",-4.65
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.8640000000000001
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,15.62
Short Interest,0.0891
Today's Open,16.14
Volume,3019917.0
Volume 10-day Avg,5104526.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.042857142857142705
Growth 1yr High Est,-1.47
Growth 1yr Consensus Est,-0.7564285714285713
Growth 2yr Low Est,0.9300639658848615
Growth 2yr High Est,-0.4158510638297872
Growth 2yr Consensus Est,0.25710645102753715
Growth 5yr Low Est,0.46503198294243075
Growth 5yr High Est,-0.2079255319148936
Growth 5yr Consensus Est,0.12855322551376855
Growth 5yr Actual/Est,3.289067247160907
Growth 3yr Historic,2.839794064203513
Price/Earnings (TTM),
Price/Sales (TTM),0.6785
Price/Book (MRQ),0.50683
Price/Cash Flow (TTM),48.52395
5yr Low,12.4
5yr High,85.78
5yr Avg Return,-0.15833333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0551337
Dividend Growth 5yr,0.0310382
Short Int Current Month,9390469.0
Short Int Prev Month,8614859.0
Short Int Pct of Float,0.0890917
Days to Cover,3.7359
Float,104.0422
Shares Outstanding,107.4183
Institutions Holding Shares,581.0
FCF Growth 5yr,-0.2759639849233123
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34700000000000003
Operating Profit Margin (TTM),-0.2325
Net Profit Margin (TTM),-0.19440000000000002
Annual Dividend Yield,0.1739
Dividend Change %,0.010700000000000001
"Dividend Growth Rate, 3 Years",0.009300000000000001
EPS Growth (MRQ),-15.194500000000001
EPS Growth (TTM),-7.6864
Revenue Growth (MRQ),0.0309
Revenue Growth (TTM),-0.079
Return On Equity (TTM),-0.1301
Return On Assets (TTM),-0.0888
Return On Investment (TTM),-0.0951
Revenue Per Employee (TTM),332860.0
Total Debt/Total Capital (MRQ),0.1218
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),2.67
Interest Coverage (MRQ),2.11
newConstructs,4
researchTeam,reduce
cfra,3
creditSuisse,outperform
theStreet,sell
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-05 00:00:00
cfra since,2020-05-02 00:00:00
creditSuisse since,2020-03-20 00:00:00
theStreet since,2020-05-01 00:00:00
ford since,2019-07-12 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
