,CAH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,22.76,Valuation,
Price/Sales (TTM),0.09,10.65,Valuation,0.008450704225352112
Price/Book (MRQ),14.18,6.03,Valuation,2.3515754560530677
"PEG Ratio (TTM, GAAP)",,62.83,Valuation,
Gross Profit Margin (TTM),0.045599999999999995,0.1463,Profitability,0.3116883116883116
Operating Profit Margin (TTM),-0.027999999999999997,0.028300000000000002,Profitability,-0.9893992932862189
Net Profit Margin (TTM),-0.0281,0.0068000000000000005,Profitability,-4.13235294117647
Annual Dividend Yield,0.039700000000000006,0.0122,Dividend,3.254098360655738
Dividend Change %,0.0301,0.10099999999999999,Dividend,0.298019801980198
"Dividend Growth Rate, 3 Years",0.0717,0.10400000000000001,Dividend,0.6894230769230769
EPS Growth (MRQ),1.045,0.608,Gowth rates,1.71875
EPS Growth (TTM),-64.2212,0.0036,Gowth rates,-17839.222222222223
Revenue Growth (MRQ),0.0641,0.1227,Gowth rates,0.5224123879380603
Revenue Growth (TTM),0.054400000000000004,0.21739999999999998,Gowth rates,0.250229990800368
Return On Equity (TTM),-1.1963,0.1627,Effectiveness,-7.3527965580823595
Return On Assets (TTM),-0.1033,0.050800000000000005,Effectiveness,-2.033464566929134
Return On Investment (TTM),-0.25680000000000003,0.016200000000000003,Effectiveness,-15.851851851851851
Revenue Per Employee (TTM),3023374.0,1202685.0,Effectiveness,2.5138535859348043
Total Debt/Total Capital (MRQ),0.8879000000000001,0.4826,Financial strength,1.8398259428097807
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002,0.0022,Financial strength,-0.6363636363636365
Quick Ratio (MRQ),0.48,0.37,Financial strength,1.2972972972972974
Interest Coverage (MRQ),8.25,10.31,Financial strength,0.8001939864209505
