,KIM
Price/Earnings (TTM),12.56171
Price/Sales (TTM),3.75078
Price/Book (MRQ),0.89206
Price/Cash Flow (TTM),8.31773
5yr Low,7.45
5yr High,32.24
5yr Avg Return,-0.08088333333333333
EPS Growth 5yr,0.0099217
Revenue Growth 5yr,0.0311924
Dividend Growth 5yr,0.0447084
Short Int Current Month,14323826.0
Short Int Prev Month,19258143.0
Short Int Pct of Float,0.0349054
Days to Cover,1.898
Float,420.614
Shares Outstanding,432.5095
Institutions Holding Shares,642.0
% Held by Institutions,0.924073
FCF Growth 5yr,-0.21210915114270779
