,KIM
% Above Low,0.4631
% Held by Institutions,0.9240999999999999
52-Wk Range,['7.45 - 21.86']
Annual Dividend $,1.12
Annual Dividend %,0.1114
Ask,10.99
Ask Size,9800.0
B/A Ratio,0.01020408163265306
B/A Size,100x9800
Beta,1.2
Bid,10.9
Bid Size,100.0
Closing Price,10.9
Day Change $,0.85
Day Change %,0.08460000000000001
Day High,11.09
Day Low,10.16
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",0.8
Ex-dividend,2020-04-01 00:00:00
Ex-dividend Date,04/01/20
Historical Volatility,0.562
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.56
Prev Close,10.05
Short Interest,0.0349
Today's Open,10.3
Volume,7995353.0
Volume 10-day Avg,7564507.0
Volume Past Day,(Average)
Next Earnings Announcement,
Growth Analysts,7.0
Growth 1yr Low Est,-0.8513513513513513
Growth 1yr High Est,-0.15116279069767447
Growth 1yr Consensus Est,-0.5012570710245129
Growth 2yr Low Est,1.437960687960688
Growth 2yr High Est,-0.04133482000637145
Growth 2yr Consensus Est,0.6983129339771583
Growth 5yr Low Est,0.8796026579531735
Growth 5yr High Est,-0.10720256437002933
Growth 5yr Consensus Est,0.38620004679157205
Growth 5yr Actual/Est,-0.04321943614106258
Growth 3yr Historic,-0.010818120351588884
Price/Earnings (TTM),12.56171
Price/Sales (TTM),3.75078
Price/Book (MRQ),0.89206
Price/Cash Flow (TTM),8.31773
5yr Low,7.45
5yr High,32.24
5yr Avg Return,-0.08088333333333333
EPS Growth 5yr,0.0099217
Revenue Growth 5yr,0.0311924
Dividend Growth 5yr,0.0447084
Short Int Current Month,14323826.0
Short Int Prev Month,19258143.0
Short Int Pct of Float,0.0349054
Days to Cover,1.898
Float,420.614
Shares Outstanding,432.5095
Institutions Holding Shares,642.0
FCF Growth 5yr,-0.21210915114270779
"Price/Earnings (TTM, GAAP)",12.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7092
Operating Profit Margin (TTM),0.34380000000000005
Net Profit Margin (TTM),0.2721
Annual Dividend Yield,0.11140000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0317
EPS Growth (MRQ),0.5663
EPS Growth (TTM),-0.217
Revenue Growth (MRQ),0.046900000000000004
Revenue Growth (TTM),-0.005
Return On Equity (TTM),0.06620000000000001
Return On Assets (TTM),0.028700000000000003
Return On Investment (TTM),0.029900000000000003
Revenue Per Employee (TTM),2308534.0
Total Debt/Total Capital (MRQ),0.518
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.45
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,4
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-17 00:00:00
cfra since,2019-07-25 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
