,2015,2016,2017,2018,2019,2020,Report
high,27.33,32.24,26.16,18.37,21.86,20.78,
low,22.07,24.35,17.02,13.16,14.32,7.45,
change,0.08220000000000001,-0.0386,-0.2849,-0.1968,0.4283,-0.4755,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,190.0,142.0,239.0,144.0,124.0,,Balance Sheet
"Total Receivables, Net",175.0,182.0,190.0,185.0,219.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,11390.0,11673.0,12251.0,11636.0,11709.0,,Balance Sheet
Accumulated Depreciation,-2115.0,-2278.0,-2433.0,-2385.0,-2500.0,,Balance Sheet
Prop./Plant/Equip. - Net,9453.0,9730.0,10220.0,9492.0,9528.0,,Balance Sheet
LT Invt. - Affiliate Comp.,743.0,504.0,484.0,571.0,578.0,,Balance Sheet
LT Investments - Other,223.0,217.0,231.0,202.0,194.0,,Balance Sheet
Long Term Investments,966.0,721.0,715.0,773.0,773.0,,Balance Sheet
Note Rcvble - Long Term,24.0,23.0,22.0,14.0,,,Balance Sheet
Deferred Charges,152.0,148.0,155.0,156.0,150.0,,Balance Sheet
Other Assets,384.0,284.0,223.0,235.0,204.0,,Balance Sheet
"Other Assets, Total",384.0,284.0,223.0,235.0,204.0,,Balance Sheet
Total Assets,11344.0,11231.0,11764.0,10999.0,10998.0,,Balance Sheet
Payable/Accrued,150.0,146.0,186.0,175.0,170.0,,Balance Sheet
Accrued Expenses,,,,,93.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
"Other Curr. Lblts, Total",115.0,125.0,129.0,130.0,126.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Total Long Term Debt,5376.0,5066.0,5479.0,4874.0,5316.0,,Balance Sheet
Total Debt,5376.0,5066.0,5479.0,4874.0,5316.0,,Balance Sheet
Minority Interest,222.0,234.0,144.0,101.0,82.0,,Balance Sheet
"Other Liabilities, Total",434.0,404.0,432.0,385.0,346.0,,Balance Sheet
Total Liabilities,6298.0,5974.0,6369.0,5665.0,6133.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,4.0,4.0,4.0,4.0,4.0,,Balance Sheet
Additional Paid-In Capital,5609.0,5923.0,6153.0,6117.0,5765.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-572.0,-677.0,-761.0,-788.0,-905.0,,Balance Sheet
Unrealized Gain (Loss),-1.0,-1.0,-1.0,0.0,,,Balance Sheet
Cum. Trans. Adjustment,7.0,6.0,0.0,0.0,,,Balance Sheet
Other Comprehensive Income,,,,0.0,,,Balance Sheet
"Other Equity, Total",7.0,6.0,0.0,0.0,,,Balance Sheet
Total Equity,5046.0,5256.0,5394.0,5334.0,4865.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,11344.0,11231.0,11764.0,10999.0,10998.0,,Balance Sheet
Ttl Comm. Shares Outs.,413.0,425.0,426.0,421.0,432.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 1,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,1167.0,1171.0,1201.0,1165.0,1159.0,,Income Statement
"Cost of Revenue, Total",304.0,299.0,311.0,329.0,337.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",129.0,123.0,124.0,94.0,97.0,,Income Statement
Depreciation/Amortization,345.0,355.0,361.0,310.0,278.0,,Income Statement
Impair-Assets Held for Use,45.0,93.0,67.0,79.0,49.0,,Income Statement
Other Unusual Expnse (In),,46.0,2.0,13.0,0.0,,Income Statement
Unusual Expense (Income),45.0,139.0,69.0,92.0,49.0,,Income Statement
Total Operating Expense,823.0,916.0,865.0,825.0,761.0,,Income Statement
Total Operating Income,344.0,255.0,336.0,340.0,398.0,,Income Statement
"Inter Expse,Net Non-Operat",-219.0,-193.0,-192.0,-183.0,-177.0,,Income Statement
"Inter/Invest Inc, Non-Oper",39.0,1.0,3.0,,,,Income Statement
Gain(Loss)on Sale of Assets,,,,230.0,79.0,,Income Statement
"Other, Net",5.0,4.0,0.0,13.0,12.0,,Income Statement
Income Before Tax,169.0,68.0,146.0,399.0,312.0,,Income Statement
Income Tax - Total,60.0,73.0,-2.0,2.0,-3.0,,Income Statement
Income After Tax,109.0,-5.0,148.0,398.0,315.0,,Income Statement
Minority Interest,-6.0,-7.0,-14.0,-1.0,-3.0,,Income Statement
Equity In Affiliates,666.0,304.0,199.0,101.0,98.0,,Income Statement
Net Inc Before Extra Items,768.0,292.0,334.0,498.0,411.0,,Income Statement
Discontinued Operations,0.0,0.0,0.0,,,,Income Statement
Extraordinary Item,,,-1.0,,,,Income Statement
Total Extraordinary Items,0.0,0.0,-1.0,,,,Income Statement
Total Net Income,768.0,292.0,333.0,498.0,411.0,,Income Statement
Preferred Dividends,-63.0,-46.0,-54.0,-58.0,-71.0,,Income Statement
Misc Earnings Adjustment,122.0,85.0,91.0,-10.0,-3.0,,Income Statement
Total Adjust to Net Income,59.0,39.0,38.0,-68.0,-73.0,,Income Statement
Income Available to Common Excl. Extra. Items,827.0,331.0,371.0,430.0,337.0,,Income Statement
Income Available to Common Incl. Extra. Items,827.0,331.0,370.0,430.0,337.0,,Income Statement
Basic/Primary Weighted Average Shares,411.0,418.0,424.0,421.0,420.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.01,0.79,0.88,1.02,0.8,,Income Statement
Basic/Primary EPS Incl. Extra. Items,2.01,0.79,0.87,1.02,0.8,,Income Statement
Dilution Adjustment,,0.0,,,0.0,,Income Statement
Diluted Weighted Average Shares,413.0,420.0,424.0,421.0,422.0,,Income Statement
Diluted EPS Excl. Extra. Items,2.0,0.79,0.88,1.02,0.8,,Income Statement
Diluted EPS Incl. Extra. Items,2.0,0.79,0.87,1.02,0.8,,Income Statement
Div/Share-ComStockPrimIssue,0.96,1.02,1.08,1.12,1.12,,Income Statement
Gross Divid - Common Stock,460.0,460.0,511.0,531.0,528.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",219.0,193.0,192.0,183.0,177.0,,Income Statement
"Interest Capitalized, Suppl",-2.0,-9.0,-14.0,-18.0,-16.0,,Income Statement
"Depreciat/Amort, Suppl",345.0,355.0,361.0,310.0,278.0,,Income Statement
Funds From Operats - REIT,643.0,556.0,656.0,621.0,608.0,,Income Statement
Total Special Items,-419.0,139.0,69.0,-138.0,-30.0,,Income Statement
Normalzd Income Before Tax,-250.0,207.0,215.0,261.0,282.0,,Income Statement
Efct/SpecItemsIncTxs (STEC),-147.0,49.0,24.0,-1.0,-11.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,-86.0,121.0,22.0,1.0,-14.0,,Income Statement
Normalized Income After Tax,-164.0,86.0,193.0,260.0,296.0,,Income Statement
Normalzd Inc Avail to Common,555.0,421.0,416.0,292.0,318.0,,Income Statement
Basic Normalized EPS,1.35,1.01,0.98,0.7,0.76,,Income Statement
Diluted Normalized EPS,1.34,1.0,0.98,0.69,0.75,,Income Statement
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Cash Flow
Net Income,900.0,386.0,440.0,498.0,414.0,,Cash Flow
Depreciation/Depletion,345.0,355.0,361.0,310.0,278.0,,Cash Flow
Deferred Taxes,,55.0,1.0,,0.0,,Cash Flow
Unusual Items,-717.0,-11.0,-96.0,-138.0,-30.0,,Cash Flow
Equity in Net Earnings/Loss,-76.0,-246.0,-128.0,-101.0,-98.0,,Cash Flow
Other Non-Cash Items,145.0,110.0,80.0,123.0,114.0,,Cash Flow
Non-Cash Items,-648.0,-148.0,-144.0,-116.0,-15.0,,Cash Flow
"Cash Taxes Pd, Supplemental",100.0,6.0,-14.0,1.0,-1.0,,Cash Flow
"Cash Interest Pd, Suppl",233.0,252.0,192.0,200.0,169.0,,Cash Flow
Accounts Receivable,-3.0,17.0,5.0,5.0,-34.0,,Cash Flow
Payable/Accrued,0.0,-8.0,4.0,-9.0,-4.0,,Cash Flow
Changes in Working Capital,-103.0,-56.0,-43.0,-55.0,-93.0,,Cash Flow
Total Cash from Operations,494.0,592.0,614.0,638.0,584.0,,Cash Flow
Capital Expenditures,-861.0,-471.0,-531.0,-537.0,-446.0,,Cash Flow
Sale of Fixed Assets,437.0,309.0,181.0,755.0,324.0,,Cash Flow
Sale/Maturity of Investment,76.0,2.0,3.0,1.0,2.0,,Cash Flow
"Investment, Net",-1.0,0.0,-1.0,-1.0,-13.0,,Cash Flow
Purchase of Investments,-282.0,-89.0,-45.0,-37.0,-30.0,,Cash Flow
Other Investing Cash Flow,652.0,414.0,98.0,72.0,42.0,,Cash Flow
"OtherInvestCashFlowItms,Tot",883.0,636.0,237.0,791.0,325.0,,Cash Flow
Total Cash from Investing,21.0,165.0,-294.0,254.0,-120.0,,Cash Flow
Financing Cash Flow Items,34.0,-83.0,-120.0,-26.0,-28.0,,Cash Flow
Cash Divids Paid - Common,,,-460.0,-471.0,-479.0,,Cash Flow
Cash Divs Paid - Preferred,,,-47.0,-59.0,-52.0,,Cash Flow
Total Cash Dividends Paid,-456.0,-474.0,-506.0,-530.0,-532.0,,Cash Flow
Sale/Issuance of Common,19.0,307.0,441.0,34.0,204.0,,Cash Flow
Repurch/Retirement Common,,,,-75.0,0.0,,Cash Flow
"Common Stock, Net",19.0,307.0,441.0,-41.0,204.0,,Cash Flow
"Preferred Stock, Net",-175.0,0.0,-225.0,0.0,-575.0,,Cash Flow
"Iss (Retirmnt) of Stock,Net",-156.0,307.0,216.0,-41.0,-371.0,,Cash Flow
Long Term Debt Issued,1500.0,1400.0,1456.0,51.0,366.0,,Cash Flow
Long Term Debt Reduction,-584.0,-720.0,-702.0,-218.0,-19.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",66.0,-555.0,187.0,-390.0,447.0,,Cash Flow
Total Cash From Financing,-513.0,-805.0,-224.0,-987.0,-483.0,,Cash Flow
Net Change in Cash,2.0,-47.0,96.0,-95.0,-20.0,,Cash Flow
NetCash-BeginBal/RsvdforFutUse,187.0,190.0,142.0,239.0,144.0,,Cash Flow
NetCash-EndBal/RsrvforFutUse,190.0,142.0,239.0,144.0,124.0,,Cash Flow
"Depreciation, Supplemental",345.0,355.0,361.0,310.0,278.0,,Cash Flow
Free Cash Flow,-367.0,121.0,83.0,101.0,138.0,,
FCF Growth,,-1.3297002724795641,-0.31404958677685946,0.2168674698795181,0.36633663366336644,0.0,
