,Industry,Type,WLTW,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.82,Valuation,24.16,2.0439932318104908
Price/Sales (TTM),3.58,Valuation,2.76,0.770949720670391
Price/Book (MRQ),2.11,Valuation,2.47,1.170616113744076
"PEG Ratio (TTM, GAAP)",0.14,Valuation,3.72,26.57142857142857
Gross Profit Margin (TTM),0.0168,Profitability,,
Operating Profit Margin (TTM),0.0969,Profitability,0.14470000000000002,1.493292053663571
Net Profit Margin (TTM),0.065,Profitability,0.1189,1.8292307692307692
Annual Dividend Yield,0.026600000000000002,Dividend,0.0138,0.5187969924812029
Dividend Change %,0.0629,Dividend,0.0944,1.5007949125596185
"Dividend Growth Rate, 3 Years",0.1051,Dividend,0.0409,0.38915318744053284
EPS Growth (MRQ),-0.217,Gowth rates,-0.4393,2.0244239631336405
EPS Growth (TTM),0.8533,Gowth rates,0.3987,0.4672448142505567
Revenue Growth (MRQ),0.1638,Gowth rates,-0.0833,-0.5085470085470085
Revenue Growth (TTM),0.109,Gowth rates,0.07730000000000001,0.7091743119266056
Return On Equity (TTM),0.1097,Effectiveness,0.1043,0.95077484047402
Return On Assets (TTM),0.0278,Effectiveness,0.029700000000000004,1.0683453237410074
Return On Investment (TTM),0.015600000000000001,Effectiveness,0.059000000000000004,3.782051282051282
Revenue Per Employee (TTM),1325439.0,Effectiveness,197275.0,0.14883747950678983
Total Debt/Total Capital (MRQ),0.2691,Financial strength,0.36119999999999997,1.342251950947603
Change in Debt/Total Capital Quarter over Quarter,0.0003,Financial strength,0.0018,6.0
Quick Ratio (MRQ),,Financial strength,,
Interest Coverage (MRQ),10.21,Financial strength,5.05,0.494613124387855
