,WLTW
% Below High,0.1069
% Held by Institutions,0.912
52-Wk Range,['143.34 - 220.97']
Annual Dividend $,2.72
Annual Dividend %,0.0141
Ask,222.0
Ask Size,300.0
B/A Ratio,2.3333333333333335
B/A Size,700x300
Beta,0.8
Bid,197.22
Bid Size,700.0
Closing Price,197.35
Day Change $,4.2
Day Change %,0.0217
Day High,197.4
Day Low,193.13
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",8.17
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.37700000000000006
Last (size),826.0
Last (time),4:15p ET 05/08/20
Market Cap,25.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.16
Prev Close,193.15
Short Interest,0.0175
Today's Open,195.29
Volume,455876.0
Volume 10-day Avg,1136712.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.10883720930232554
Growth 1yr High Est,0.08144796380090491
Growth 1yr Consensus Est,-0.013694622750710317
Growth 2yr Low Est,-0.03719522260523378
Growth 2yr High Est,0.09302523713057798
Growth 2yr Consensus Est,0.027915007262672098
Growth 5yr Low Est,0.051555867637326724
Growth 5yr High Est,0.11440751897163814
Growth 5yr Consensus Est,0.08298169330448243
Growth 5yr Actual/Est,0.0963647079295078
Growth 3yr Historic,0.06744347681163454
Price/Earnings (TTM),24.15772
Price/Sales (TTM),2.76362
Price/Book (MRQ),2.47498
Price/Cash Flow (TTM),13.65913
5yr Low,104.11
5yr High,220.97
5yr Avg Return,0.08160000000000002
EPS Growth 5yr,0.08674849999999999
Revenue Growth 5yr,0.18910900000000003
Dividend Growth 5yr,-0.0431246
Short Int Current Month,2244694.0
Short Int Prev Month,1936494.0
Short Int Pct of Float,0.0175107
Days to Cover,2.23946
Float,128.2993
Shares Outstanding,128.7357
Institutions Holding Shares,734.0
FCF Growth 5yr,1.367002426701018
"Price/Earnings (TTM, GAAP)",24.16
"PEG Ratio (TTM, GAAP)",3.72
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.14470000000000002
Net Profit Margin (TTM),0.1189
Annual Dividend Yield,0.0138
Dividend Change %,0.0944
"Dividend Growth Rate, 3 Years",0.0409
EPS Growth (MRQ),-0.4393
EPS Growth (TTM),0.3987
Revenue Growth (MRQ),-0.0833
Revenue Growth (TTM),0.07730000000000001
Return On Equity (TTM),0.1043
Return On Assets (TTM),0.029700000000000004
Return On Investment (TTM),0.059000000000000004
Revenue Per Employee (TTM),197275.0
Total Debt/Total Capital (MRQ),0.36119999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.05
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
cfra,4
theStreet,hold
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-12 00:00:00
theStreet since,2020-05-01 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,2020-02-10 00:00:00
