,MMC
% Below High,0.1326
% Held by Institutions,0.8906000000000001
52-Wk Range,['74.34 - 119.88']
Annual Dividend $,1.82
Annual Dividend %,0.0179
Ask,119.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,79.03
Bid Size,200.0
Closing Price,103.98
Day Change $,2.33
Day Change %,0.0229
Day High,104.01
Day Low,101.5
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2020-04-07 00:00:00
Ex-dividend Date,04/07/20
Historical Volatility,0.35000000000000003
Last (size),5800.0
Last (time),6:30p ET 05/08/20
Market Cap,52.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.17
Prev Close,101.65
Short Interest,0.010700000000000001
Today's Open,102.62
Volume,1559670.0
Volume 10-day Avg,2266418.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.04347826086956508
Growth 1yr High Est,0.047008547008547064
Growth 1yr Consensus Est,0.001765143069490993
Growth 2yr Low Est,0.024851778656126478
Growth 2yr High Est,0.10615733472876332
Growth 2yr Consensus Est,0.0655045566924449
Growth 5yr Low Est,0.06773675362016077
Growth 5yr High Est,0.10595373805297881
Growth 5yr Consensus Est,0.08684524583656979
Growth 5yr Actual/Est,0.07238362211654462
Growth 3yr Historic,0.04523956134177809
Price/Earnings (TTM),29.16795
Price/Sales (TTM),2.98555
Price/Book (MRQ),7.04997
Price/Cash Flow (TTM),20.43168
5yr Low,50.81
5yr High,119.88
5yr Avg Return,0.1200666666666667
EPS Growth 5yr,0.055500100000000004
Revenue Growth 5yr,0.0515565
Dividend Growth 5yr,0.1042024
Short Int Current Month,5392641.0
Short Int Prev Month,4801096.0
Short Int Pct of Float,0.010718799999999999
Days to Cover,2.22719
Float,503.1237
Shares Outstanding,506.1188
Institutions Holding Shares,1206.0
FCF Growth 5yr,0.055137220773778674
"Price/Earnings (TTM, GAAP)",29.17
"PEG Ratio (TTM, GAAP)",5.6
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1612
Net Profit Margin (TTM),0.1052
Annual Dividend Yield,0.0179
Dividend Change %,0.10130000000000002
"Dividend Growth Rate, 3 Years",0.10210000000000001
EPS Growth (MRQ),0.9322
EPS Growth (TTM),0.0674
Revenue Growth (MRQ),0.0908
Revenue Growth (TTM),0.1472
Return On Equity (TTM),0.2341
Return On Assets (TTM),0.0589
Return On Investment (TTM),0.0745
Revenue Per Employee (TTM),226737.0
Total Debt/Total Capital (MRQ),0.6467
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.23
newConstructs,4
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,buy
cfra,4
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2010-05-05 00:00:00
cfra since,2020-05-01 00:00:00
ford since,2019-12-06 00:00:00
creditSuisse since,2016-01-11 00:00:00
