,MMC
Price/Earnings (TTM),29.16795
Price/Sales (TTM),2.98555
Price/Book (MRQ),7.04997
Price/Cash Flow (TTM),20.43168
5yr Low,50.81
5yr High,119.88
5yr Avg Return,0.1200666666666667
EPS Growth 5yr,0.055500100000000004
Revenue Growth 5yr,0.0515565
Dividend Growth 5yr,0.1042024
Short Int Current Month,5392641.0
Short Int Prev Month,4801096.0
Short Int Pct of Float,0.010718799999999999
Days to Cover,2.22719
Float,503.1237
Shares Outstanding,506.1188
Institutions Holding Shares,1206.0
% Held by Institutions,0.890641
FCF Growth 5yr,0.055137220773778674
