,RSG
% Above Low,0.2438
% Held by Institutions,0.9255
52-Wk Range,['65.37 - 100.91']
Annual Dividend $,1.62
Annual Dividend %,0.0199
Ask,93.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,77.0
Bid Size,100.0
Closing Price,81.31
Day Change $,0.1
Day Change %,0.0012
Day High,82.38
Day Low,81.09
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",3.38
Ex-dividend,2020-06-30 00:00:00
Ex-dividend Date,06/30/20
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.06
Prev Close,81.21
Short Interest,0.009300000000000001
Today's Open,81.82
Volume,1032288.0
Volume 10-day Avg,1334215.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.23241590214067287
Growth 1yr High Est,0.035502958579881616
Growth 1yr Consensus Est,-0.09845647178039563
Growth 2yr Low Est,-0.02258245306236828
Growth 2yr High Est,0.053465765004226506
Growth 2yr Consensus Est,0.015441655970929113
Growth 5yr Low Est,0.07847151815996889
Growth 5yr High Est,0.11926535003458077
Growth 5yr Consensus Est,0.09886843409727483
Growth 5yr Actual/Est,0.09235694594524263
Growth 3yr Historic,0.08812777178472969
Price/Earnings (TTM),24.06269
Price/Sales (TTM),2.49277
Price/Book (MRQ),3.18641
Price/Cash Flow (TTM),11.95969
5yr Low,38.99
5yr High,100.91
5yr Avg Return,0.13674999999999998
EPS Growth 5yr,0.1685163
Revenue Growth 5yr,0.0322417
Dividend Growth 5yr,0.0761607
Short Int Current Month,2961511.0
Short Int Prev Month,2958135.0
Short Int Pct of Float,0.009313
Days to Cover,1.85687
Float,317.1635
Shares Outstanding,318.3122
Institutions Holding Shares,998.0
FCF Growth 5yr,0.10074675770029637
"Price/Earnings (TTM, GAAP)",24.06
"PEG Ratio (TTM, GAAP)",4.05
Gross Profit Margin (TTM),0.3962
Operating Profit Margin (TTM),0.1731
Net Profit Margin (TTM),0.10460000000000001
Annual Dividend Yield,0.0199
Dividend Change %,0.0851
"Dividend Growth Rate, 3 Years",0.0784
EPS Growth (MRQ),-0.1486
EPS Growth (TTM),0.0663
Revenue Growth (MRQ),-0.0088
Revenue Growth (TTM),0.0296
Return On Equity (TTM),0.1354
Return On Assets (TTM),0.048600000000000004
Return On Investment (TTM),0.0553
Revenue Per Employee (TTM),288411.0
Total Debt/Total Capital (MRQ),0.5251
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),3.99
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
cfra,5
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-25 00:00:00
theStreet since,2010-04-22 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,
