,Industry,RSG,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.85,24.06,Valuation,0.6193050193050192
Price/Sales (TTM),3.95,2.49,Valuation,0.6303797468354431
Price/Book (MRQ),5.99,3.19,Valuation,0.5325542570951586
"PEG Ratio (TTM, GAAP)",3.38,4.05,Valuation,1.198224852071006
Gross Profit Margin (TTM),0.40380000000000005,0.3962,Profitability,0.981178801386825
Operating Profit Margin (TTM),0.1155,0.1731,Profitability,1.4987012987012986
Net Profit Margin (TTM),0.0634,0.10460000000000001,Profitability,1.6498422712933756
Annual Dividend Yield,0.014499999999999999,0.0199,Dividend,1.3724137931034484
Dividend Change %,0.0999,0.0851,Dividend,0.8518518518518517
"Dividend Growth Rate, 3 Years",0.0876,0.0784,Dividend,0.8949771689497716
EPS Growth (MRQ),-0.1711,-0.1486,Gowth rates,0.8684979544126242
EPS Growth (TTM),0.115,0.0663,Gowth rates,0.5765217391304347
Revenue Growth (MRQ),0.0579,-0.0088,Gowth rates,-0.15198618307426598
Revenue Growth (TTM),0.0665,0.0296,Gowth rates,0.44511278195488724
Return On Equity (TTM),0.209,0.1354,Effectiveness,0.6478468899521531
Return On Assets (TTM),0.0805,0.048600000000000004,Effectiveness,0.6037267080745342
Return On Investment (TTM),0.10310000000000001,0.0553,Effectiveness,0.536372453928225
Revenue Per Employee (TTM),259577.0,288411.0,Effectiveness,1.1110807197864216
Total Debt/Total Capital (MRQ),0.49350000000000005,0.5251,Financial strength,1.0640324214792298
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0002,Financial strength,0.5
Quick Ratio (MRQ),1.34,0.86,Financial strength,0.6417910447761194
Interest Coverage (MRQ),18.38,3.99,Financial strength,0.21708378672470077
