,HPQ
% Above Low,0.2488
% Held by Institutions,0.8193
52-Wk Range,['12.54 - 23.93']
Annual Dividend $,0.7048
Annual Dividend %,0.0471
Ask,15.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,15.65
Bid Size,100.0
Closing Price,15.66
Day Change $,0.71
Day Change %,0.0475
Day High,15.74
Day Low,15.22
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",1.98
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.501
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,22.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.56
Prev Close,14.95
Short Interest,0.013600000000000001
Today's Open,15.22
Volume,12001062.0
Volume 10-day Avg,11695604.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-27 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.3027522935779817
Growth 1yr High Est,0.10666666666666669
Growth 1yr Consensus Est,-0.09804281345565752
Growth 2yr Low Est,-0.0724287783679382
Growth 2yr High Est,0.14369477911646578
Growth 2yr Consensus Est,0.035633000374263785
Growth 5yr Low Est,0.04133232844738635
Growth 5yr High Est,0.15283320118620847
Growth 5yr Consensus Est,0.09708276481679741
Growth 5yr Actual/Est,0.11768836221072038
Growth 3yr Historic,0.08328832883288334
Price/Earnings (TTM),7.55508
Price/Sales (TTM),0.36436
Price/Book (MRQ),
Price/Cash Flow (TTM),5.70913
5yr Low,8.91
5yr High,35.6
5yr Avg Return,-0.034883333333333336
EPS Growth 5yr,0.056928900000000004
Revenue Growth 5yr,0.0073234
Dividend Growth 5yr,0.0095157
Short Int Current Month,19441780.0
Short Int Prev Month,17907744.0
Short Int Pct of Float,0.0136344
Days to Cover,1.25836
Float,1427.099
Shares Outstanding,1429.764
Institutions Holding Shares,1217.0
FCF Growth 5yr,0.04028701568281923
"Price/Earnings (TTM, GAAP)",7.56
"PEG Ratio (TTM, GAAP)",1.0
Gross Profit Margin (TTM),0.1948
Operating Profit Margin (TTM),0.065
Net Profit Margin (TTM),0.0506
Annual Dividend Yield,0.0471
Dividend Change %,0.1429
"Dividend Growth Rate, 3 Years",0.08869999999999999
EPS Growth (MRQ),0.7773000000000001
EPS Growth (TTM),-0.09480000000000001
Revenue Growth (MRQ),-0.0512
Revenue Growth (TTM),0.0
Return On Equity (TTM),
Return On Assets (TTM),0.0926
Return On Investment (TTM),0.3694
Revenue Per Employee (TTM),1047571.0
Total Debt/Total Capital (MRQ),1.5072999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.53
Interest Coverage (MRQ),18.95
newConstructs,1
researchTeam,reduce
cfra,3
ford,2
marketEdge opinion,avoid
marketEdge,0
creditSuisse,neutral
theStreet,hold
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
cfra since,2019-05-24 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-04-11 00:00:00
theStreet since,2016-02-25 00:00:00
