,J
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.008350730688935326
Growth 1yr High Est,0.1133200795228626
Growth 1yr Consensus Est,0.05248467441696364
Growth 2yr Low Est,0.022140424129216518
Growth 2yr High Est,0.1638028969042885
Growth 2yr Consensus Est,0.09297166051675251
Growth 5yr Low Est,0.05274477887684207
Growth 5yr High Est,0.14846119052878493
Growth 5yr Consensus Est,0.1006029847028135
Growth 5yr Actual/Est,0.16884884079790136
Growth 3yr Historic,0.12734588615461095
