,J
% Above Low,0.34880000000000005
% Held by Institutions,0.883
52-Wk Range,['59.29 - 104.00']
Annual Dividend $,0.76
Annual Dividend %,0.0097
Ask,107.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,70.0
Bid Size,100.0
Closing Price,79.97
Day Change $,1.42
Day Change %,0.0181
Day High,80.59
Day Low,79.01
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",1.5
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.385
Last (size),166.0
Last (time),6:30p ET 05/08/20
Market Cap,10.4B
"P/E Ratio (TTM, GAAP)",52.26
Prev Close,78.55
Short Interest,0.0191
Today's Open,79.14
Volume,752511.0
Volume 10-day Avg,913836.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-03 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.008350730688935326
Growth 1yr High Est,0.1133200795228626
Growth 1yr Consensus Est,0.05248467441696364
Growth 2yr Low Est,0.022140424129216518
Growth 2yr High Est,0.1638028969042885
Growth 2yr Consensus Est,0.09297166051675251
Growth 5yr Low Est,0.05274477887684207
Growth 5yr High Est,0.14846119052878493
Growth 5yr Consensus Est,0.1006029847028135
Growth 5yr Actual/Est,0.16884884079790136
Growth 3yr Historic,0.12734588615461095
Price/Earnings (TTM),52.26388
Price/Sales (TTM),0.76553
Price/Book (MRQ),1.8358
Price/Cash Flow (TTM),25.08416
5yr Low,34.76
5yr High,104.0
5yr Avg Return,0.13549999999999998
EPS Growth 5yr,-0.0106812
Revenue Growth 5yr,0.000672
Dividend Growth 5yr,
Short Int Current Month,2527150.0
Short Int Prev Month,2657993.0
Short Int Pct of Float,0.0191275
Days to Cover,2.60439
Float,128.685
Shares Outstanding,130.1027
Institutions Holding Shares,753.0
FCF Growth 5yr,-0.43607403528977906
"Price/Earnings (TTM, GAAP)",52.26
"PEG Ratio (TTM, GAAP)",4.64
Gross Profit Margin (TTM),0.1936
Operating Profit Margin (TTM),0.0381
Net Profit Margin (TTM),0.0173
Annual Dividend Yield,0.0097
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6836000000000002
EPS Growth (TTM),-0.4781
Revenue Growth (MRQ),0.02
Revenue Growth (TTM),0.1032
Return On Equity (TTM),0.037200000000000004
Return On Assets (TTM),0.0177
Return On Investment (TTM),0.023
Revenue Per Employee (TTM),278119.0
Total Debt/Total Capital (MRQ),0.3558
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),11.84
theStreet,buy
newConstructs,4
researchTeam,reduce
creditSuisse,outperform
cfra,4
ford,3
marketEdge,
theStreet since,2016-11-22 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-12-02 00:00:00
creditSuisse since,2018-05-08 00:00:00
cfra since,2016-10-06 00:00:00
ford since,2019-11-29 00:00:00
marketEdge since,
