,IPGP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",49.06,31.71,Valuation,1.5471460107221697
Price/Sales (TTM),6.26,3.09,Valuation,2.0258899676375406
Price/Book (MRQ),3.32,4.45,Valuation,0.746067415730337
"PEG Ratio (TTM, GAAP)",3.61,3.51,Valuation,1.0284900284900285
Gross Profit Margin (TTM),0.4486,0.3607,Profitability,1.2436928195176047
Operating Profit Margin (TTM),0.1684,0.0696,Profitability,2.4195402298850577
Net Profit Margin (TTM),0.1298,0.050499999999999996,Profitability,2.5702970297029704
Annual Dividend Yield,,0.010700000000000001,Dividend,
Dividend Change %,,0.0703,Dividend,
"Dividend Growth Rate, 3 Years",,0.0859,Dividend,
EPS Growth (MRQ),9.0815,-0.5093,Gowth rates,-17.831337129393287
EPS Growth (TTM),-0.5524,-0.0904,Gowth rates,6.110619469026549
Revenue Growth (MRQ),-0.18710000000000002,-0.0016,Gowth rates,116.9375
Revenue Growth (TTM),-0.11750000000000001,0.0201,Gowth rates,-5.845771144278608
Return On Equity (TTM),0.0699,-0.009000000000000001,Effectiveness,-7.766666666666667
Return On Assets (TTM),0.0611,0.0556,Effectiveness,1.0989208633093526
Return On Investment (TTM),0.0661,0.0645,Effectiveness,1.0248062015503876
Revenue Per Employee (TTM),209526.0,334898.0,Effectiveness,0.6256412400193492
Total Debt/Total Capital (MRQ),0.017,0.3699,Financial strength,0.045958367126250343
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0004,Financial strength,-2.5
Quick Ratio (MRQ),7.73,1.96,Financial strength,3.9438775510204085
Interest Coverage (MRQ),,16.32,Financial strength,
