,IPGP
% Below High,0.0867
% Held by Institutions,0.6767
52-Wk Range,['98.04 - 166.49']
Annual Dividend $,
Annual Dividend %,
Ask,161.66
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.7
Bid,152.06
Bid Size,300.0
Closing Price,152.06
Day Change $,4.67
Day Change %,0.0317
Day High,153.22
Day Low,149.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.0
Ex-dividend Date,No dividend
Historical Volatility,0.583
Last (size),6.0
Last (time),4:15p ET 05/08/20
Market Cap,8.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",49.06
Prev Close,147.39
Short Interest,0.0622
Today's Open,149.85
Volume,613622.0
Volume 10-day Avg,547974.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6274509803921569
Growth 1yr High Est,-0.145413870246085
Growth 1yr Consensus Est,-0.3864324253191209
Growth 2yr Low Est,0.2981166150670793
Growth 2yr High Est,0.24142919053140777
Growth 2yr Consensus Est,0.26977290279924354
Growth 5yr Low Est,0.0481415465299887
Growth 5yr High Est,0.029249541502263027
Growth 5yr Consensus Est,0.03869554401612588
Growth 5yr Actual/Est,-0.0478447688404573
Growth 3yr Historic,-0.10460760599341531
Price/Earnings (TTM),49.06229
Price/Sales (TTM),6.25872
Price/Book (MRQ),3.32492
Price/Cash Flow (TTM),30.09802
5yr Low,70.21
5yr High,264.11
5yr Avg Return,0.1827
EPS Growth 5yr,-0.0247516
Revenue Growth 5yr,0.1129567
Dividend Growth 5yr,
Short Int Current Month,2190425.0
Short Int Prev Month,2390290.0
Short Int Pct of Float,0.062220199999999996
Days to Cover,6.03662
Float,35.10092
Shares Outstanding,53.02757
Institutions Holding Shares,617.0
FCF Growth 5yr,0.03874992740110907
"Price/Earnings (TTM, GAAP)",49.06
"PEG Ratio (TTM, GAAP)",3.61
Gross Profit Margin (TTM),0.4486
Operating Profit Margin (TTM),0.1684
Net Profit Margin (TTM),0.1298
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),9.0815
EPS Growth (TTM),-0.5524
Revenue Growth (MRQ),-0.18710000000000002
Revenue Growth (TTM),-0.11750000000000001
Return On Equity (TTM),0.0699
Return On Assets (TTM),0.0611
Return On Investment (TTM),0.0661
Revenue Per Employee (TTM),209526.0
Total Debt/Total Capital (MRQ),0.017
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),7.73
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-21 00:00:00
cfra since,2019-09-27 00:00:00
theStreet since,2020-01-08 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
