,BBY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.2,21.72,Valuation,0.6077348066298343
Price/Sales (TTM),0.45,207.17,Valuation,0.0021721291692812666
Price/Book (MRQ),5.62,29.12,Valuation,0.1929945054945055
"PEG Ratio (TTM, GAAP)",1.67,1.15,Valuation,1.4521739130434783
Gross Profit Margin (TTM),0.2303,0.3346,Profitability,0.6882845188284519
Operating Profit Margin (TTM),0.046,0.0717,Profitability,0.6415620641562064
Net Profit Margin (TTM),0.0353,0.0391,Profitability,0.9028132992327365
Annual Dividend Yield,0.028900000000000002,0.019,Dividend,1.5210526315789474
Dividend Change %,0.15380000000000002,0.17690000000000003,Dividend,0.8694177501413227
"Dividend Growth Rate, 3 Years",0.2215,0.16649999999999998,Dividend,1.3303303303303304
EPS Growth (MRQ),1.5436,0.3321,Gowth rates,4.647997591087022
EPS Growth (TTM),0.08220000000000001,0.18850000000000003,Gowth rates,0.4360742705570292
Revenue Growth (MRQ),0.5563,0.032400000000000005,Gowth rates,17.16975308641975
Revenue Growth (TTM),0.0177,0.056100000000000004,Gowth rates,0.3155080213903743
Return On Equity (TTM),0.45420000000000005,0.509,Effectiveness,0.8923379174852653
Return On Assets (TTM),0.1082,0.1518,Effectiveness,0.7127799736495389
Return On Investment (TTM),0.2386,0.2416,Effectiveness,0.9875827814569537
Revenue Per Employee (TTM),349104.0,322581.0,Effectiveness,1.0822212095566695
Total Debt/Total Capital (MRQ),0.2676,0.7836,Financial strength,0.3415007656967841
Change in Debt/Total Capital Quarter over Quarter,-0.0024,-0.0008,Financial strength,2.9999999999999996
Quick Ratio (MRQ),0.46,0.38,Financial strength,1.2105263157894737
Interest Coverage (MRQ),,14.0,Financial strength,
