,BBY
% Below High,0.1452
% Held by Institutions,0.7998000000000001
52-Wk Range,['48.11 - 91.99']
Annual Dividend $,2.2
Annual Dividend %,0.028900000000000002
Ask,78.79
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.5
Bid,78.64
Bid Size,500.0
Change Since Close,0.00| |(0.00%)
Closing Price,78.63
Day Change $,2.38
Day Change %,0.031200000000000002
Day High,78.87
Day Low,76.73
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",5.77
Ex-dividend,2020-03-18 00:00:00
Ex-dividend Date,03/18/20
Historical Volatility,0.509
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,78.63
Market Cap,20.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.2
Prev Close,76.25
Short Interest,0.0325
Today's Open,76.75
Volume,1440014.0
Volume 10-day Avg,2354816.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.41391304347826086
Growth 1yr High Est,-0.10032894736842113
Growth 1yr Consensus Est,-0.257120995423341
Growth 2yr Low Est,-0.009627144884531036
Growth 2yr High Est,0.09243150437794673
Growth 2yr Consensus Est,0.041402179746707846
Growth 5yr Low Est,0.03459752841031264
Growth 5yr High Est,0.11358551495918885
Growth 5yr Consensus Est,0.07409152168475075
Growth 5yr Actual/Est,0.09887549278318106
Growth 3yr Historic,0.08614933827782129
Price/Earnings (TTM),13.2044
Price/Sales (TTM),0.44994
Price/Book (MRQ),5.62163
Price/Cash Flow (TTM),8.34451
5yr Low,25.31
5yr High,91.99
5yr Avg Return,0.20035
EPS Growth 5yr,0.1028082
Revenue Growth 5yr,0.015846199999999998
Dividend Growth 5yr,0.2274034
Short Int Current Month,7153841.0
Short Int Prev Month,4706431.0
Short Int Pct of Float,0.0324503
Days to Cover,2.68635
Float,219.2801
Shares Outstanding,257.5034
Institutions Holding Shares,941.0
FCF Growth 5yr,0.45597191735477605
"Price/Earnings (TTM, GAAP)",13.2
"PEG Ratio (TTM, GAAP)",1.67
Gross Profit Margin (TTM),0.2303
Operating Profit Margin (TTM),0.046
Net Profit Margin (TTM),0.0353
Annual Dividend Yield,0.028900000000000002
Dividend Change %,0.15380000000000002
"Dividend Growth Rate, 3 Years",0.2215
EPS Growth (MRQ),1.5436
EPS Growth (TTM),0.08220000000000001
Revenue Growth (MRQ),0.5563
Revenue Growth (TTM),0.0177
Return On Equity (TTM),0.45420000000000005
Return On Assets (TTM),0.1082
Return On Investment (TTM),0.2386
Revenue Per Employee (TTM),349104.0
Total Debt/Total Capital (MRQ),0.2676
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2016-02-26 00:00:00
cfra since,2020-04-18 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2016-06-15 00:00:00
