,CDNS
% Below High,0.0039000000000000003
% Held by Institutions,0.9569
52-Wk Range,['51.39 - 82.78']
Annual Dividend $,
Annual Dividend %,
Ask,85.0
Ask Size,100.0
Ask close,82.5
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,71.98
Bid Size,100.0
Bid close,82.4
Change Since Close,0.00| |(0.00%)
Closing Price,82.46
Day Change $,1.09
Day Change %,0.0134
Day High,82.7
Day Low,81.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.54
Ex-dividend Date,No dividend
Historical Volatility,0.44700000000000006
Last (size),62.0
Last (time),4:15p ET 05/08/20
Last Trade,0.0
Market Cap,23.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.97
Prev Close,81.37
Short Interest,0.0187
Today's Open,82.36
Volume,1125669.0
Volume 10-day Avg,2136827.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-20 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.11059907834101401
Growth 1yr High Est,0.14155251141552516
Growth 1yr Consensus Est,0.1260757948782696
Growth 2yr Low Est,0.09679331510411693
Growth 2yr High Est,0.12877625570776263
Growth 2yr Consensus Est,0.11278478540593978
Growth 5yr Low Est,0.17365998280345957
Growth 5yr High Est,0.19069121665697014
Growth 5yr Consensus Est,0.18217559973021485
Growth 5yr Actual/Est,0.18096565677268694
Growth 3yr Historic,0.128046218487395
Price/Earnings (TTM),22.96693
Price/Sales (TTM),9.55505
Price/Book (MRQ),10.52711
Price/Cash Flow (TTM),20.32368
5yr Low,18.13
5yr High,82.78
5yr Avg Return,0.3044
EPS Growth 5yr,0.4675296
Revenue Growth 5yr,0.0812442
Dividend Growth 5yr,
Short Int Current Month,5175119.0
Short Int Prev Month,4859284.0
Short Int Pct of Float,0.0187021
Days to Cover,2.36995
Float,275.2131
Shares Outstanding,279.187
Institutions Holding Shares,860.0
FCF Growth 5yr,0.14432436764264245
"Price/Earnings (TTM, GAAP)",22.97
"PEG Ratio (TTM, GAAP)",1.84
Gross Profit Margin (TTM),0.8863
Operating Profit Margin (TTM),0.2115
Net Profit Margin (TTM),0.41700000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8115000000000001
EPS Growth (TTM),1.5486000000000002
Revenue Growth (MRQ),0.030699999999999998
Revenue Growth (TTM),0.08199999999999999
Return On Equity (TTM),0.5627000000000001
Return On Assets (TTM),0.314
Return On Investment (TTM),0.42450000000000004
Revenue Per Employee (TTM),293523.0
Total Debt/Total Capital (MRQ),0.2439
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),29.82
newConstructs,3
researchTeam,accumulate
theStreet,buy
cfra,4
ford,2
marketEdge opinion,long
marketEdge,-1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2012-02-02 00:00:00
cfra since,2019-07-23 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2016-10-19 00:00:00
