,DUK
% Above Low,0.31629999999999997
% Held by Institutions,0.6267
52-Wk Range,['62.13 - 103.79']
Annual Dividend $,3.78
Annual Dividend %,0.0471
Ask,82.0
Ask Size,800.0
B/A Ratio,0.375
B/A Size,300x800
Beta,0.4
Bid,80.77
Bid Size,300.0
Closing Price,81.78
Day Change $,1.47
Day Change %,0.0183
Day High,82.07
Day Low,80.5
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",5.1
Ex-dividend,2020-02-13 00:00:00
Ex-dividend Date,02/13/20
Historical Volatility,0.38200000000000006
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,60.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",15.76
Prev Close,80.31
Short Interest,0.0526
Today's Open,81.49
Volume,2875207.0
Volume 10-day Avg,3148294.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-12 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.04040404040404044
Growth 1yr High Est,0.08498023715415037
Growth 1yr Consensus Est,0.022288098375054965
Growth 2yr Low Est,0.036640085061137695
Growth 2yr High Est,0.06252654844957062
Growth 2yr Consensus Est,0.049583316755354157
Growth 5yr Low Est,0.04157366708338378
Growth 5yr High Est,0.05567450610884328
Growth 5yr Consensus Est,0.04862408659611353
Growth 5yr Actual/Est,0.046174255161582356
Growth 3yr Historic,0.026214163854170525
Price/Earnings (TTM),15.75994
Price/Sales (TTM),2.35057
Price/Book (MRQ),1.31224
Price/Cash Flow (TTM),6.76573
5yr Low,62.13
5yr High,103.79
5yr Avg Return,0.013950000000000002
EPS Growth 5yr,0.0730353
Revenue Growth 5yr,0.0218586
Dividend Growth 5yr,0.0352095
Short Int Current Month,38585418.0
Short Int Prev Month,36085006.0
Short Int Pct of Float,0.0526184
Days to Cover,9.75885
Float,733.2855
Shares Outstanding,734.0286
Institutions Holding Shares,1836.0
FCF Growth 5yr,0.1675900986636957
"Price/Earnings (TTM, GAAP)",15.76
"PEG Ratio (TTM, GAAP)",3.81
Gross Profit Margin (TTM),0.46090000000000003
Operating Profit Margin (TTM),0.22760000000000002
Net Profit Margin (TTM),0.1427
Annual Dividend Yield,0.0471
Dividend Change %,0.030299999999999997
"Dividend Growth Rate, 3 Years",0.0368
EPS Growth (MRQ),-0.4994
EPS Growth (TTM),0.3528
Revenue Growth (MRQ),-0.12060000000000001
Revenue Growth (TTM),0.022799999999999997
Return On Equity (TTM),0.08380000000000001
Return On Assets (TTM),0.0235
Return On Investment (TTM),0.0262
Revenue Per Employee (TTM),871010.0
Total Debt/Total Capital (MRQ),0.5609000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.4
Interest Coverage (MRQ),2.15
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2010-08-15 00:00:00
cfra since,2019-05-09 00:00:00
ford since,2019-12-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-02-18 00:00:00
