,Industry,Type,WYNN,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.94,Valuation,,
Price/Sales (TTM),8.26,Valuation,1.59,0.19249394673123488
Price/Book (MRQ),4.17,Valuation,,
"PEG Ratio (TTM, GAAP)",69.54,Valuation,,
Gross Profit Margin (TTM),0.41630000000000006,Profitability,0.3576,0.8589959164064375
Operating Profit Margin (TTM),0.2077,Profitability,0.0613,0.29513721714010593
Net Profit Margin (TTM),0.1241,Profitability,-0.050499999999999996,-0.4069298952457695
Annual Dividend Yield,0.0148,Dividend,,
Dividend Change %,0.1185,Dividend,0.3636,3.0683544303797468
"Dividend Growth Rate, 3 Years",0.0885,Dividend,0.2331,2.6338983050847458
EPS Growth (MRQ),-0.6358,Gowth rates,-4.5089,7.091695501730103
EPS Growth (TTM),0.0032,Gowth rates,-1.7938,-560.5625
Revenue Growth (MRQ),-0.0748,Gowth rates,-0.4232,5.657754010695187
Revenue Growth (TTM),0.029700000000000004,Gowth rates,-0.11130000000000001,-3.7474747474747474
Return On Equity (TTM),0.11710000000000001,Effectiveness,,
Return On Assets (TTM),0.1011,Effectiveness,,
Return On Investment (TTM),0.131,Effectiveness,,
Revenue Per Employee (TTM),156725.0,Effectiveness,195804.0,1.2493475833466263
Total Debt/Total Capital (MRQ),1.3097,Financial strength,,
Change in Debt/Total Capital Quarter over Quarter,0.0003,Financial strength,0.0005,1.6666666666666667
Quick Ratio (MRQ),1.01,Financial strength,,
Interest Coverage (MRQ),6.89,Financial strength,-1.81,-0.26269956458635707
