,WYNN
% Above Low,1.4258000000000002
% Held by Institutions,0.7702
52-Wk Range,['35.84 - 153.41']
Annual Dividend $,
Annual Dividend %,
Ask,87.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,2.5
Bid,86.55
Bid Size,300.0
Closing Price,86.94
Day Change $,7.34
Day Change %,0.0922
Day High,87.4
Day Low,81.49
Dividend Pay Date,03/06/20
"EPS (TTM, GAAP)",-3.6
Ex-dividend Date,02/25/20
Historical Volatility,0.751
Last (size),300.0
Last (time),4:00p ET 05/08/20
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,79.6
Short Interest,0.10210000000000001
Today's Open,81.91
Volume,6408179.0
Volume 10-day Avg,5910808.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-5.467391304347826
Growth 1yr High Est,-0.20666666666666667
Growth 1yr Consensus Est,-2.8370289855072466
Growth 2yr Low Est,-3.1074791071617476
Growth 2yr High Est,0.07943977591036416
Growth 2yr Consensus Est,-1.5140196656256917
Growth 5yr Low Est,-1.6092363823335165
Growth 5yr High Est,0.05058945317257338
Growth 5yr Consensus Est,-0.7793234645804716
Growth 5yr Actual/Est,-1.0422668735192964
Growth 3yr Historic,-0.03770541385220286
Price/Earnings (TTM),
Price/Sales (TTM),1.58594
Price/Book (MRQ),
Price/Cash Flow (TTM),25.45199
5yr Low,35.84
5yr High,203.63
5yr Avg Return,0.07771666666666666
EPS Growth 5yr,-0.30670580000000003
Revenue Growth 5yr,0.0400069
Dividend Growth 5yr,
Short Int Current Month,9911021.0
Short Int Prev Month,8711603.0
Short Int Pct of Float,0.102133
Days to Cover,1.31039
Float,97.75038
Shares Outstanding,107.8683
Institutions Holding Shares,628.0
FCF Growth 5yr,-1.5330765152266674
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3576
Operating Profit Margin (TTM),0.0613
Net Profit Margin (TTM),-0.050499999999999996
Annual Dividend Yield,
Dividend Change %,0.3636
"Dividend Growth Rate, 3 Years",0.2331
EPS Growth (MRQ),-4.5089
EPS Growth (TTM),-1.7938
Revenue Growth (MRQ),-0.4232
Revenue Growth (TTM),-0.11130000000000001
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),195804.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.81
newConstructs,3
researchTeam,reduce
theStreet,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,1
ford,4
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-08 00:00:00
theStreet since,2020-03-10 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-02-08 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2018-08-13 00:00:00
