,WYNN
Price/Earnings (TTM),
Price/Sales (TTM),1.58594
Price/Book (MRQ),
Price/Cash Flow (TTM),25.45199
5yr Low,35.84
5yr High,203.63
5yr Avg Return,0.07771666666666666
EPS Growth 5yr,-0.30670580000000003
Revenue Growth 5yr,0.0400069
Dividend Growth 5yr,
Short Int Current Month,9911021.0
Short Int Prev Month,8711603.0
Short Int Pct of Float,0.102133
Days to Cover,1.31039
Float,97.75038
Shares Outstanding,107.8683
Institutions Holding Shares,628.0
% Held by Institutions,0.77019
FCF Growth 5yr,-1.5330765152266674
