,LMT
% Below High,0.1449
% Held by Institutions,0.7636
52-Wk Range,['266.11 - 442.53']
Annual Dividend $,9.6
Annual Dividend %,0.0255
Ask,380.9
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,1.0
Bid,378.4
Bid Size,400.0
Closing Price,378.4
Day Change $,1.86
Day Change %,0.0049
Day High,381.13
Day Low,376.25
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",22.03
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.37700000000000006
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,106.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.09
Prev Close,376.54
Short Interest,0.0096
Today's Open,378.03
Volume,1130673.0
Volume 10-day Avg,1235184.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.08310120705663882
Growth 1yr High Est,0.12991765782250675
Growth 1yr Consensus Est,0.10650943243957278
Growth 2yr Low Est,0.08698566568005539
Growth 2yr High Est,0.13763089368858128
Growth 2yr Consensus Est,0.11230827968431834
Growth 5yr Low Est,0.13564737948599767
Growth 5yr High Est,0.16663721577371335
Growth 5yr Consensus Est,0.1511422976298555
Growth 5yr Actual/Est,0.5124184992876699
Growth 3yr Historic,0.46344850820120853
Price/Earnings (TTM),17.09136
Price/Sales (TTM),1.72747
Price/Book (MRQ),30.64281
Price/Cash Flow (TTM),14.16243
5yr Low,181.91
5yr High,442.53
5yr Avg Return,0.14558333333333331
EPS Growth 5yr,0.1682004
Revenue Growth 5yr,0.0840842
Dividend Growth 5yr,0.1039109
Short Int Current Month,2714407.0
Short Int Prev Month,2777519.0
Short Int Pct of Float,0.009636200000000001
Days to Cover,1.62665
Float,278.809
Shares Outstanding,280.4353
Institutions Holding Shares,2098.0
FCF Growth 5yr,0.3518900704328776
"Price/Earnings (TTM, GAAP)",17.09
"PEG Ratio (TTM, GAAP)",1.95
Gross Profit Margin (TTM),0.1353
Operating Profit Margin (TTM),0.13720000000000002
Net Profit Margin (TTM),0.10210000000000001
Annual Dividend Yield,0.0255
Dividend Change %,0.0976
"Dividend Growth Rate, 3 Years",0.09960000000000001
EPS Growth (MRQ),0.1486
EPS Growth (TTM),0.1345
Revenue Growth (MRQ),-0.0143
Revenue Growth (TTM),0.08259999999999999
Return On Equity (TTM),2.1123
Return On Assets (TTM),0.1288
Return On Investment (TTM),0.1898
Revenue Per Employee (TTM),555700.0
Total Debt/Total Capital (MRQ),0.7844
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),14.34
newConstructs,2
researchTeam,hold
theStreet,buy
cfra,5
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2018-04-25 00:00:00
cfra since,2016-11-09 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2015-11-18 00:00:00
