,KSU
% Below High,0.235
% Held by Institutions,0.9311
52-Wk Range,['92.86 - 178.59']
Annual Dividend $,1.6
Annual Dividend %,0.012199999999999999
Ask,168.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,110.0
Bid Size,100.0
Closing Price,136.63
Day Change $,5.3
Day Change %,0.0404
Day High,136.98
Day Low,133.64
Dividend Pay Date,2020-04-08 00:00:00
"EPS (TTM, GAAP)",5.96
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.47100000000000003
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",22.02
Prev Close,131.33
Short Interest,0.0347
Today's Open,133.64
Volume,1045223.0
Volume 10-day Avg,1480916.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-17 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.30938416422287396
Growth 1yr High Est,0.05714285714285716
Growth 1yr Consensus Est,-0.1261206535400084
Growth 2yr Low Est,0.14148626183760765
Growth 2yr High Est,0.11032818532818522
Growth 2yr Consensus Est,0.12590722358289644
Growth 5yr Low Est,0.14504180590136942
Growth 5yr High Est,0.13142218854440696
Growth 5yr Consensus Est,0.1382319972228882
Growth 5yr Actual/Est,0.11690612999787744
Growth 3yr Historic,0.07323043790380473
Price/Earnings (TTM),22.02057
Price/Sales (TTM),4.26939
Price/Book (MRQ),2.81518
Price/Cash Flow (TTM),13.2319
5yr Low,62.2
5yr High,178.59
5yr Avg Return,0.08963333333333333
EPS Growth 5yr,0.0349022
Revenue Growth 5yr,0.0214779
Dividend Growth 5yr,0.07004450000000001
Short Int Current Month,3274500.0
Short Int Prev Month,3008418.0
Short Int Pct of Float,0.0346678
Days to Cover,2.30871
Float,94.54615
Shares Outstanding,95.02023
Institutions Holding Shares,914.0
FCF Growth 5yr,0.7535612888315406
"Price/Earnings (TTM, GAAP)",22.02
"PEG Ratio (TTM, GAAP)",2.15
Gross Profit Margin (TTM),0.7004
Operating Profit Margin (TTM),0.34700000000000003
Net Profit Margin (TTM),0.2018
Annual Dividend Yield,0.0122
Dividend Change %,-0.1778
"Dividend Growth Rate, 3 Years",0.038900000000000004
EPS Growth (MRQ),0.2147
EPS Growth (TTM),0.0755
Revenue Growth (MRQ),0.003
Revenue Growth (TTM),0.06280000000000001
Return On Equity (TTM),0.127
Return On Assets (TTM),0.0608
Return On Investment (TTM),0.0663
Revenue Per Employee (TTM),415185.0
Total Debt/Total Capital (MRQ),0.40520000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),1.02
Interest Coverage (MRQ),3.18
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,1
theStreet,buy
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2016-07-29 00:00:00
cfra since,2018-01-20 00:00:00
ford since,2020-01-17 00:00:00
creditSuisse since,2017-06-16 00:00:00
