,KSU
Price/Earnings (TTM),22.02057
Price/Sales (TTM),4.26939
Price/Book (MRQ),2.81518
Price/Cash Flow (TTM),13.2319
5yr Low,62.2
5yr High,178.59
5yr Avg Return,0.08963333333333333
EPS Growth 5yr,0.0349022
Revenue Growth 5yr,0.0214779
Dividend Growth 5yr,0.07004450000000001
Short Int Current Month,3274500.0
Short Int Prev Month,3008418.0
Short Int Pct of Float,0.0346678
Days to Cover,2.30871
Float,94.54615
Shares Outstanding,95.02023
Institutions Holding Shares,914.0
% Held by Institutions,0.9311
FCF Growth 5yr,0.7535612888315406
