,GL
Price/Earnings (TTM),11.3066
Price/Sales (TTM),1.77844
Price/Book (MRQ),1.23618
Price/Cash Flow (TTM),
5yr Low,48.47
5yr High,111.43
5yr Avg Return,0.08541666666666668
EPS Growth 5yr,0.1140307
Revenue Growth 5yr,0.045751099999999996
Dividend Growth 5yr,0.0654849
Short Int Current Month,2586890.0
Short Int Prev Month,2632197.0
Short Int Pct of Float,0.024656699999999997
Days to Cover,3.96728
Float,106.0707
Shares Outstanding,107.3972
Institutions Holding Shares,659.0
% Held by Institutions,0.7664230000000001
FCF Growth 5yr,0.048288303677847685
